"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"15210";"22600";"PACTE PER L'HABITATGE I PLA ESTRATÈGIC";"30.000,00";"0,00";"30.000,00";"0,00"
"100";"49100";"22600";"DESPESES GESTIÓ RADIO MUNICIPAL";"157.583,60";"13.131,66";"170.715,26";"135.637,27"
"100";"91210";"10000";"ÒRGANS DE GOVERN";"251.069,92";"117.355,89";"368.425,81";"368.425,81"
"100";"91210";"11000";"P EVENTUAL PRESIDÈNCIA";"515.454,04";"-35.717,40";"479.736,64";"479.736,64"
"100";"91210";"16000";"QUOTES SOCIALS ÒRGANS DE GOVERN";"243.220,10";"28.136,53";"271.356,63";"271.356,63"
"100";"91210";"23000";"INDEMNITZACIONS ÒRGANS DE GOVERN";"409.800,00";"5.244,26";"415.044,26";"403.798,50"
"100";"91220";"48000";"TRANSFERÈNCIES ALS GRUPS MUNICIPALS";"55.920,00";"12.210,00";"68.130,00";"48.000,00"
"100";"92010";"48000";"RELACIONS INSTITUCIONALS";"54.000,00";"156.181,56";"210.181,56";"175.899,26"
"100";"92010";"22009";"MATERIAL OFICINA PRESIDÈNCIA";"5.000,00";"665,25";"5.665,25";"672,04"
"100";"92010";"22604";"DESPESES FUNCIONAMENT PRESIDÈNCIA";"57.125,00";"-6.546,54";"50.578,46";"47.527,96"
"100";"92010";"12000";"RETR.BAS.P.FUNCIONAR A1 PRESIDÈNCIA";"16.595,82";"12.873,98";"29.469,80";"29.469,80"
"100";"92010";"12001";"RETR.BAS.P.FUNCIONAR A2 PRESIDÈNCIA";"32.734,60";"46.674,20";"79.408,80";"79.408,80"
"100";"92010";"12003";"RETR.BAS.P.FUNCIONARI C1 PRESIDÈNCIA";"64.468,83";"-22.882,45";"41.586,38";"41.586,38"
"100";"92010";"12006";"TRIENNIS P FUNCIONARI PRESIDÈNCIA";"14.753,85";"9.401,79";"24.155,64";"24.155,64"
"100";"92010";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PRESIDÈNCIA";"25.177,45";"4.314,26";"29.491,71";"29.491,71"
"100";"92010";"12100";"COMP. DESTINACIÓ FUNCIONARIS PRESIDÈNCIA";"55.401,05";"13.824,53";"69.225,58";"69.225,58"
"100";"92010";"12101";"COMP. ESPECÍFIC FUNCIONARIS PRESIDÈNCIA";"97.261,27";"23.791,20";"121.052,47";"121.052,47"
"100";"92010";"13000";"RETR.BAS.P.LABORAL PRESIDÈNCIA";"203.790,66";"-123.364,87";"80.425,79";"80.425,79"
"100";"92010";"14300";"ALTRE PERSONAL ALCALDIA";"0,00";"76.197,22";"76.197,22";"76.197,22"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"6.719,51";"3.206,37";"9.925,88";"9.925,88"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"945,86";"6,82";"952,68";"952,68"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"136.509,06";"668,80";"137.177,86";"137.177,86"
"100";"92011";"22614";"ADMINISTRACIÓ GENERAL";"115.000,00";"103.196,61";"218.196,61";"59.545,30"
"100";"92021";"22711";"PROMOCIÓ I COMUNICACIÓ";"330.000,00";"22.919,67";"352.919,67";"279.871,44"
"100";"92021";"22611";"IMATGE I DISSENY";"25.000,00";"1.831,81";"26.831,81";"6.941,85"
"100";"92031";"22612";"OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"60.000,00";"-14.328,80";"45.671,20";"27.877,90"
"100";"92031";"48000";"TRANSF OFICINA ESTUDIS SOCIALS - PREMI EUROPA";"10.000,00";"0,00";"10.000,00";"7.349,36"
"100";"92041";"22712";"OFICINA DE L'OBSERVATORI";"10.000,00";"-4.831,92";"5.168,08";"2.168,20"
"100";"92051";"14300";"ALTRE PERSONAL DESENVOLUPAMENT INTEL·LIGENT";"0,00";"129.472,35";"129.472,35";"31.220,57"
