"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"91210";"10000";"ÒRGANS DE GOVERN";"291.858,00";"0,00";"291.858,00";"18.494,30"
"100";"91210";"11000";"P EVENTUAL PRESIDÈNCIA";"545.596,43";"0,00";"545.596,43";"33.921,69"
"100";"92010";"12000";"RETR.BAS.P.FUNCIONAR A1 PRESIDÈNCIA";"29.670,41";"0,00";"29.670,41";"2.262,72"
"100";"92010";"12003";"RETR.BAS.P.FUNCIONARI C1 PRESIDÈNCIA";"19.982,48";"0,00";"19.982,48";"1.469,02"
"100";"92010";"12006";"TRIENNIS P FUNCIONARI PRESIDÈNCIA";"15.612,63";"0,00";"15.612,63";"1.247,19"
"100";"92010";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PRESIDÈNCIA";"12.240,87";"0,00";"12.240,87";"0,00"
"100";"92010";"12100";"COMP. DESTINACIÓ FUNCIONARIS PRESIDÈNCIA";"27.288,27";"0,00";"27.288,27";"2.295,08"
"100";"92010";"12101";"COMP. ESPECÍFIC FUNCIONARIS PRESIDÈNCIA";"46.156,94";"-1.379,34";"44.777,60";"2.502,69"
"100";"92010";"13000";"RETR.BAS.P.LABORAL PRESIDÈNCIA";"289.712,60";"-4.300,07";"285.412,53";"18.693,99"
"100";"92010";"15000";"PRODUCTIVITAT PRESIDÈNCIA";"11.799,17";"0,00";"11.799,17";"0,00"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"3.096,94";"0,00";"3.096,94";"1.949,46"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"0,00";"5.679,41";"5.679,41";"2.953,13"
"100";"91210";"16000";"QUOTES SOCIALS ÒRGANS DE GOVERN";"247.471,58";"0,00";"247.471,58";"18.001,90"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"126.130,19";"0,00";"126.130,19";"9.788,72"
"100";"92010";"22009";"MATERIAL OFICINA PRESIDÈNCIA";"5.000,00";"353,09";"5.353,09";"3.103,18"
"100";"92051";"22601";"DESENVOLUPAMENT INTEL·LIGENT";"144.000,00";"32.149,70";"176.149,70";"3.822,19"
"100";"92010";"22604";"DESPESES FUNCIONAMENT PRESIDÈNCIA";"59.175,00";"2.026,23";"61.201,23";"19.154,42"
"100";"92021";"22611";"IMATGE I DISSENY";"25.000,00";"-914,07";"24.085,93";"111,53"
"100";"92031";"22612";"OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"60.000,00";"0,00";"60.000,00";"0,00"
"100";"92011";"22614";"ADMINISTRACIÓ GENERAL";"115.000,00";"52.030,00";"167.030,00";"5.944,08"
"100";"92051";"22615";"GIRONA CIUTAT DIGITAL";"47.000,00";"0,00";"47.000,00";"96,80"
"100";"92221";"22619";"DESPESES RELACIONS INSTITUCIONALS";"28.000,00";"4.694,52";"32.694,52";"563,99"
"100";"92011";"22700";"NETEJA OFICINA TAV";"0,00";"444,87";"444,87";"183,34"
"100";"92021";"22711";"PROMOCIÓ I COMUNICACIÓ";"330.000,00";"13.917,66";"343.917,66";"50.735,66"
"100";"92041";"22712";"OFICINA DE L'OBSERVATORI";"10.000,00";"8.058,60";"18.058,60";"3.472,70"
"100";"91210";"23000";"INDEMNITZACIONS ÒRGANS DE GOVERN";"433.080,00";"0,00";"433.080,00";"39.848,86"
"100";"92222";"46600";"ASSOCIACIÓ DE MUNICIPIS DE CATALUNYA";"13.615,00";"0,00";"13.615,00";"13.615,00"
"100";"92223";"46600";"FEDERACIÓ DE MUNICIPIS";"13.615,00";"0,00";"13.615,00";"0,00"
"100";"91220";"48000";"TRANSFERÈNCIES ALS GRUPS MUNICIPALS";"57.000,00";"0,00";"57.000,00";"9.500,00"
"100";"92010";"48000";"RELACIONS INSTITUCIONALS";"54.000,00";"34.392,40";"88.392,40";"14.634,30"
"100";"92031";"48000";"TRANSF OFICINA ESTUDIS SOCIALS - PREMI EUROPA";"10.000,00";"2.000,00";"12.000,00";"0,00"
"100";"92224";"48000";"TRANSFERÈNCIES UNIVERSITAT DE GIRONA";"24.040,00";"0,00";"24.040,00";"0,00"
"100";"92010";"48001";"SUBVENCIÓ FÒRUM GASTRONÒMIC";"40.000,00";"0,00";"40.000,00";"0,00"
"100";"92031";"49000";"TRANSFERÈNCIES - OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"0,00";"412,90";"412,90";"0,00"
"100";"92900";"50000";"FONS DE CONTINGENCIA";"607.000,00";"-75.000,00";"532.000,00";"0,00"
"100";"44200";"60900";"MARQUESINA CONNEXIÓ ESTACIÓ AUTOBUSOS";"0,00";"386.680,00";"386.680,00";"0,00"
"100";"92011";"62300";"INVERSIONS PRESIDÈNCIA";"0,00";"213,69";"213,69";"0,00"
"100";"92051";"62600";"EQUIPAMENT INFORMATIC";"0,00";"974,57";"974,57";"0,00"
"110";"92210";"12001";"RETR.BAS.P.FUNCIONARI A2 DEFENSOR CIUTADÀ";"13.045,22";"0,00";"13.045,22";"978,26"
"110";"92210";"12006";"TRIENNIS P FUNCIONARI DEFENSOR CIUTADÀ";"4.750,61";"0,00";"4.750,61";"354,80"
