"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"91210";"10000";"ÒRGANS DE GOVERN";"131.667,48";"0,00";"131.667,48";"0,00"
"100";"91210";"11000";"P EVENTUAL PRESIDÈNCIA";"572.603,72";"7.732,11";"580.335,83";"0,00"
"100";"92010";"12000";"RETR.BAS.P.FUNCIONAR A1 PRESIDÈNCIA";"31.139,73";"0,00";"31.139,73";"0,00"
"100";"92010";"12001";"RETR.BAS.P.FUNCIONAR A2 PRESIDÈNCIA";"1.644,25";"0,00";"1.644,25";"0,00"
"100";"92010";"12003";"RETR.BAS.P.FUNCIONARI C1 PRESIDÈNCIA";"52.430,04";"6.183,37";"58.613,41";"0,00"
"100";"92010";"12006";"TRIENNIS P FUNCIONARI PRESIDÈNCIA";"20.203,92";"0,00";"20.203,92";"0,00"
"100";"92010";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PRESIDÈNCIA";"19.334,24";"0,00";"19.334,24";"0,00"
"100";"92010";"12100";"COMP. DESTINACIÓ FUNCIONARIS PRESIDÈNCIA";"44.229,79";"0,00";"44.229,79";"0,00"
"100";"92010";"12101";"COMP. ESPECÍFIC FUNCIONARIS PRESIDÈNCIA";"70.850,33";"0,00";"70.850,33";"0,00"
"100";"92010";"13000";"RETR.BAS.P.LABORAL PRESIDÈNCIA";"233.390,94";"0,00";"233.390,94";"0,00"
"100";"92010";"15000";"PRODUCTIVITAT PRESIDÈNCIA";"14.686,30";"0,00";"14.686,30";"0,00"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"6.438,58";"0,00";"6.438,58";"0,00"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"7.172,70";"0,00";"7.172,70";"0,00"
"100";"91210";"16000";"QUOTES SOCIALS ÒRGANS DE GOVERN";"213.691,42";"0,00";"213.691,42";"0,00"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"130.354,86";"5.966,30";"136.321,16";"0,00"
"100";"92010";"22009";"MATERIAL OFICINA PRESIDÈNCIA";"5.000,00";"653,63";"5.653,63";"147,62"
"100";"15210";"22600";"PACTE PER L'HABITATGE";"15.000,00";"0,00";"15.000,00";"0,00"
"100";"49100";"22600";"DESPESES GESTIÓ RADIO MUNICIPAL";"135.000,00";"0,00";"135.000,00";"0,00"
