"Descripcio";"Nom_comercial";"Codi_carrer";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"BAR-RESTAURANT SENSE ELEMENTS DE COCCIÓ";"LOTTUS CAFFE";"0002";"20 DE JUNY";"7";"";"N";"";"";"N";"";"BS";"";"3946";"485009";"4647997";"2,81903363";"41,98383246"
"BOTIGA DE PRODUCTES ALIMENTARIS";"POMES";"0002";"20 DE JUNY";"3";"";"N";"";"";"N";"";"BS";"L1";"3948";"485027";"4647979";"2,81925138";"41,98367068"
"DEPENDENCIES DE LA SUBDELEGACIÓ DEL GOVERN";"";"0002";"20 DE JUNY";"2";"";"N";"";"";"N";"";"BS";"";"4016";"485062";"4648020";"2,81967284";"41,98404062"
"DESPATX ADVOCAT";"";"0002";"20 DE JUNY";"7";"";"N";"";"";"N";"";"04";"2";"3946";"485009";"4647997";"2,81903363";"41,98383246"
"?";"";"0003";"8 DE JULIOL DE 1809";"43";"";"N";"";"";"N";"";"";"";"6563";"486432";"4649553";"2,83617561";"41,99787259"
"BAR - RESTAURANT (CAT3)";"LA TAVERNA D'EN LUCIO";"0004";"BAIX";"40";"";"N";"0";"";"N";"";"BS";"";"4795";"483911";"4647284";"2,80579852";"41,97738906"
"CENTRE CÍVIC: SALES D'ACTES/AUDITORIS-SALES POLIVALENTS-BAR-BIBLIOTECA";"CENTRE CÍVIC CAN MARFÀ";"0004";"BAIX";"2";"";"N";"";"";"N";"";"BS";"1";"4781";"483978";"4647359";"2,80660520";"41,97806593"
"?";"";"0005";"ABAT ESCARRE";"9";"";"N";"";"";"N";"";"";"";"6429";"485909";"4649323";"2,82986629";"41,99579188"
"BAR - RESTAURANT (CAT.3)";"NU";"0006";"ABEURADORS";"4";"";"N";"";"";"N";"";"BS";"";"11007";"485467";"4647954";"2,82456349";"41,98345376"
"DESPATX TÈCNIC";"GRUP-7";"0006";"ABEURADORS";"3";"";"N";"";"";"N";"";"BS";"";"5718";"485454";"4647941";"2,82440688";"41,98333643"
