,Descripcio,Nom_comercial,Codi_carrer,Nom_carrer,Numero_inf,Lletra_inf,Accessori_inf,Numero_sup,Lletra_sup, Accessori_sup,Escala,Pis,Porta,Id_edifici,Sector,utm_x_etrs89, utm_y_etrs89,lon,lat,Year
1955,HABITATGE D'ÚS TURÍSTIC,-,212,Carrer de Figuerola,47,-,N,-,-,N,-,AT,1,3963,Eixample Nord,484924.0,4648088.0,"2,81800521","41,98465044",2022
1971,HABITATGE D'ÚS TURÍSTIC,-,214,Carrer del Riu Fluvià,17,-,N,-,-,N,-,3,4,11154,Eixample Sud,484667.0,4646029.0,"2,81495646","41,96610077",2022
1976,HABITATGE D'ÚS TURÍSTIC,FINCA CAN MARTINOY,215,Camí de la Font de l'Abat,31,-,N,-,-,N,-,BS,3,11875,Fontajau,484950.0,4649147.0,"2,81829195","41,99418897",2022
1989,HABITATGE D'ÚS TURÍSTIC,SLEEP & STAY,225,Carrer de la Força,3,-,N,-,-,N,-,4,-,5953,Barri Vell,485510.0,4648184.0,"2,82507690","41,98552608",2022
1990,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,4,-,N,-,-,N,-,3,2,5928,Barri Vell,485546.0,4648200.0,"2,82551109","41,98567085",2022
1994,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,4,-,N,-,-,N,-,PR,2,5928,Barri Vell,485546.0,4648200.0,"2,82551109","41,98567085",2022
1996,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,6,-,N,-,-,N,-,PR,1,5930,Barri Vell,485538.0,4648218.0,"2,82541408","41,98583282",2022
1997,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,7,-,N,-,-,N,-,4,2,5955,Barri Vell,485510.0,4648195.0,"2,82507663","41,98562515",2022
2003,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,11,-,N,-,-,N,-,1,B,5990,Barri Vell,485514.0,4648216.0,"2,82512440","41,98581436",2022
2004,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,11,-,N,-,-,N,-,3,I,5990,Barri Vell,485514.0,4648216.0,"2,82512440","41,98581436",2022
2011,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,1,1,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2012,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,1,2,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2013,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,2,1,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2014,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,2,2,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2015,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,3,1,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2016,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,3,2,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2017,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,17,-,N,-,-,N,-,4,-,5961,Barri Vell,485510.0,4648250.0,"2,82507527","41,98612052",2022
2025,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,22,-,N,-,-,N,-,1,1,5945,Barri Vell,485523.0,4648332.0,"2,82523019","41,98685930",2022
2027,HABITATGE D'ÚS TURÍSTIC,APARTAMENT PRIÇOSA,225,Carrer de la Força,23,-,N,-,-,N,-,1,3,5970,Barri Vell,485498.0,4648287.0,"2,82492949","41,98645354",2022
2031,HABITATGE D'ÚS TURÍSTIC,-,225,Carrer de la Força,33,-,N,-,-,N,-,1,1,5984,Barri Vell,485512.0,4648365.0,"2,82509658","41,98715632",2022
2042,HABITATGE D'ÚS TURÍSTIC,-,226,Ronda del Fort Roig,23,-,N,-,-,N,-,-,-,6535,Montjuïc,486270.0,4649145.0,"2,83422912","41,99419508",2022
2045,HABITATGE D'ÚS TURÍSTIC,-,227,Avinguda de França,32,-,N,-,-,N,-,1,2,7294,Sant Ponç,485072.0,4649155.0,"2,81976472","41,99426335",2022
2066,HABITATGE D'ÚS TURÍSTIC,-,228,Carrer de Francesc Artau,8,-,N,-,-,N,-,1,C,5503,Eixample Nord,484492.0,4647371.0,"2,81280912","41,97818429",2022
2067,HABITATGE D'ÚS TURÍSTIC,-,228,Carrer de Francesc Artau,8,-,N,-,-,N,-,2,C,5503,Eixample Nord,484492.0,4647371.0,"2,81280912","41,97818429",2022
2113,HABITATGE D'ÚS TURÍSTIC,-,230,Carrer de Doctor Francesc Coll i Turbau,1,-,N,-,-,N,-,BS,2,1178,Eixample Nord,485130.0,4647642.0,"2,82050328","41,98063739",2022
2116,HABITATGE D'ÚS TURÍSTIC,-,234,Carrer de Francesc Rogés,7,A,N,-,-,N,-,-,-,13229,Eixample Nord,,,,,2022
2120,HABITATGE D'ÚS TURÍSTIC,-,234,Carrer de Francesc Rogés,23,-,N,-,-,N,-,1,1,4166,Eixample Nord,484789.0,4647946.0,"2,81637920","41,98336890",2022
2121,HABITATGE D'ÚS TURÍSTIC,-,234,Carrer de Francesc Rogés,23,-,N,-,-,N,-,1,2,4166,Eixample Nord,484789.0,4647946.0,"2,81637920","41,98336890",2022
2122,HABITATGE D'ÚS TURÍSTIC,-,234,Carrer de Francesc Rogés,23,-,N,-,-,N,-,BS,1,4166,Eixample Nord,484789.0,4647946.0,"2,81637920","41,98336890",2022
2125,HABITATGE D'ÚS TURÍSTIC,-,234,Carrer de Francesc Rogés,30,-,N,-,-,N,-,2,2,11909,Eixample Nord,484803.0,4647976.0,"2,81654742","41,98363937",2022
2128,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,1,-,N,-,-,N,-,1,-,6118,Barri Vell,485541.0,4648513.0,"2,82544303","41,98848983",2022
2129,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,1,-,N,-,-,N,-,2,-,6118,Barri Vell,485541.0,4648513.0,"2,82544303","41,98848983",2022
2130,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,1,-,N,-,-,N,-,3,-,6118,Barri Vell,485541.0,4648513.0,"2,82544303","41,98848983",2022
2131,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,3,-,N,-,-,N,-,2,B,6117,Barri Vell,485552.0,4648515.0,"2,82557578","41,98850805",2022
2132,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,7,-,N,9,-,N,-,2,2,8633,Barri Vell,485579.0,4648513.0,"2,82590179","41,98849053",2022
2133,HABITATGE D'ÚS TURÍSTIC,-,236,Carrer de Francesc Samsó,11,-,N,-,-,N,-,-,-,6126,Barri Vell,485587.0,4648505.0,"2,82599857","41,98841862",2022
2198,HABITATGE D'ÚS TURÍSTIC,-,250,Passeig del General Peralta,40,-,N,-,-,N,-,-,-,287,Carme,485825.0,4647904.0,"2,82888631","41,98300995",2022
2206,HABITATGE D'ÚS TURÍSTIC,GIRONA HOUSING GINESTA 9,253,Carrer dels Ginesta,9,-,N,-,-,N,-,1,1,1058,Mercadal,485285.0,4647753.0,"2,82237150","41,98164004",2022
2207,HABITATGE D'ÚS TURÍSTIC,GIRONA HOUSING GINESTA 9,253,Carrer dels Ginesta,9,-,N,-,-,N,-,1,2,1058,Mercadal,485285.0,4647753.0,"2,82237150","41,98164004",2022
2208,HABITATGE D'ÚS TURÍSTIC,GIRONA HOUSING GINESTA 9,253,Carrer dels Ginesta,9,-,N,-,-,N,-,2,1,1058,Mercadal,485285.0,4647753.0,"2,82237150","41,98164004",2022
2209,HABITATGE D'ÚS TURÍSTIC,GIRONA HOUSING GINESTA 9,253,Carrer dels Ginesta,9,-,N,-,-,N,-,3,1,1058,Mercadal,485285.0,4647753.0,"2,82237150","41,98164004",2022
2210,HABITATGE D'ÚS TURÍSTIC,GIRONA HOUSING GINESTA 9,253,Carrer dels Ginesta,9,-,N,-,-,N,-,3,2,1058,Mercadal,485285.0,4647753.0,"2,82237150","41,98164004",2022
2212,HABITATGE D'ÚS TURÍSTIC,-,253,Carrer dels Ginesta,11,-,N,-,-,N,-,1,2,1057,Mercadal,485278.0,4647752.0,"2,82228703","41,98163090",2022
2213,HABITATGE D'ÚS TURÍSTIC,-,253,Carrer dels Ginesta,11,-,N,-,-,N,-,2,1,1057,Mercadal,485278.0,4647752.0,"2,82228703","41,98163090",2022
2214,HABITATGE D'ÚS TURÍSTIC,-,253,Carrer dels Ginesta,11,-,N,-,-,N,-,2,2,1057,Mercadal,485278.0,4647752.0,"2,82228703","41,98163090",2022
2215,HABITATGE D'ÚS TURÍSTIC,-,253,Carrer dels Ginesta,11,-,N,-,-,N,-,BS,-,1057,Mercadal,485278.0,4647752.0,"2,82228703","41,98163090",2022
2221,HABITATGE D'ÚS TURÍSTIC,-,257,Passatge de Miquel Gómez,2,-,N,-,-,N,-,1,-,6019,Barri Vell,485448.0,4648323.0,"2,82432500","41,98677686",2022
2244,HABITATGE D'ÚS TURÍSTIC,FLATELI SL,260,Gran Via de Jaume I,9,-,N,-,-,N,-,AT,1,3832,Mercadal,485228.0,4648138.0,"2,82167377","41,98510653",2022
2245,HABITATGE D'ÚS TURÍSTIC,-,260,Gran Via de Jaume I,9,-,N,-,-,N,-,AT,2,3832,Mercadal,485228.0,4648138.0,"2,82167377","41,98510653",2022
2280,HABITATGE D'ÚS TURÍSTIC,-,260,Gran Via de Jaume I,30,-,N,-,-,N,-,4,C,4012,Eixample Nord,485100.0,4648081.0,"2,82013002","41,98459074",2022
2299,HABITATGE D'ÚS TURÍSTIC,-,260,Gran Via de Jaume I,35,A,N,-,-,N,-,5,1,3687,Mercadal,485097.0,4647899.0,"2,82009842","41,98295148",2022
2321,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,1,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2322,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,2,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2323,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,3,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2324,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,6,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2325,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,7,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2326,HABITATGE D'ÚS TURÍSTIC,GIROSTAY SL,260,Gran Via de Jaume I,41,-,N,-,-,N,-,3,8,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2330,HABITATGE D'ÚS TURÍSTIC,-,260,Gran Via de Jaume I,41,-,N,-,-,N,-,6,3,1013,Mercadal,485116.0,4647765.0,"2,82033117","41,98174495",2022
2401,HABITATGE D'ÚS TURÍSTIC,-,260,Gran Via de Jaume I,86,-,N,-,-,N,-,3,1,1349,Eixample Nord,485260.0,4647544.0,"2,82207496","41,97975718",2022
2409,HABITATGE D'ÚS TURÍSTIC,FIGUEROLA 46-GUELL 10 SL,262,Carrer del Riu Güell,10,-,N,-,-,N,-,4,2,12140,Eixample Nord,484942.0,4648163.0,"2,81822058","41,98532629",2022
2412,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,12,-,N,-,-,N,-,1,B,3981,Eixample Nord,484919.0,4648159.0,"2,81794303","41,98528982",2022
2413,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,12,-,N,-,-,N,-,2,A,3981,Eixample Nord,484919.0,4648159.0,"2,81794303","41,98528982",2022
2414,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,12,-,N,-,-,N,-,2,B,3981,Eixample Nord,484919.0,4648159.0,"2,81794303","41,98528982",2022
2415,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,12,-,N,-,-,N,-,2,C,3981,Eixample Nord,484919.0,4648159.0,"2,81794303","41,98528982",2022
2418,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,13,-,N,-,-,N,-,4,-,3978,Eixample Nord,484912.0,4648139.0,"2,81785904","41,98510955",2022
2443,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,59,-,N,69,-,N,B,3,3,9693,Eixample Nord,484527.0,4647708.0,"2,81322272","41,98122022",2022
2447,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,80,-,N,-,-,N,-,1,1,9022,Eixample Nord,484516.0,4647742.0,"2,81308905","41,98152623",2022
2461,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,108,-,N,-,-,N,-,4,C,4709,Santa Eugènia,484278.0,4647363.0,"2,81022624","41,97810800",2022
2493,HABITATGE D'ÚS TURÍSTIC,-,262,Carrer del Riu Güell,192,-,N,-,-,N,-,6,2,5355,Can Gibert del Pla,484062.0,4646644.0,"2,80763850","41,97162787",2022
2494,HABITATGE D'ÚS TURÍSTIC,-,265,Carrer de les Guilleries,10,-,N,-,-,N,-,5,2,11893,Santa Eugènia,483895.0,4647211.0,"2,80560740","41,97673125",2022
2513,HABITATGE D'ÚS TURÍSTIC,-,272,Carrer de les Hortes,7,-,N,-,-,N,3,1,1,3750,Mercadal,485323.0,4648061.0,"2,82282252","41,98441480",2022
2527,HABITATGE D'ÚS TURÍSTIC,-,272,Carrer de les Hortes,20,-,N,-,-,N,-,3,1,3807,Mercadal,485287.0,4648074.0,"2,82238761","41,98453121",2022
2528,HABITATGE D'ÚS TURÍSTIC,-,272,Carrer de les Hortes,20,-,N,-,-,N,-,3,2,3807,Mercadal,485287.0,4648074.0,"2,82238761","41,98453121",2022
2530,HABITATGE D'ÚS TURÍSTIC,-,272,Carrer de les Hortes,22,-,N,-,-,N,-,-,18,3808,Mercadal,485262.0,4648068.0,"2,82208597","41,98447671",2022
2533,HABITATGE D'ÚS TURÍSTIC,-,272,Carrer de les Hortes,22,-,N,-,-,N,-,EN,D,3808,Mercadal,485262.0,4648068.0,"2,82208597","41,98447671",2022
2547,HABITATGE D'ÚS TURÍSTIC,-,278,Carrer de l'Illa,4,-,N,-,-,N,-,2,E,11442,Eixample Nord,484535.0,4647622.0,"2,81332156","41,98044580",2022
2583,HABITATGE D'ÚS TURÍSTIC,-,289,Plaça de la Independència,4,-,N,-,-,N,-,4,-,3855,Mercadal,485345.0,4648198.0,"2,82308468","41,98564912",2022
2626,HABITATGE D'ÚS TURÍSTIC,-,296,Carrer de Joan Maragall,1,-,N,-,-,N,-,1,-,1085,Mercadal,485321.0,4647668.0,"2,82280819","41,98087515",2022
2700,HABITATGE D'ÚS TURÍSTIC,-,296,Carrer de Joan Maragall,37,-,N,-,-,N,-,6,1,2712,Eixample Nord,485092.0,4647273.0,"2,82005393","41,97731322",2022
2724,HABITATGE D'ÚS TURÍSTIC,-,296,Carrer de Joan Maragall,54,-,N,-,-,N,-,AT,1,2683,Eixample Nord,485021.0,4647195.0,"2,81919892","41,97660935",2022
2765,HABITATGE D'ÚS TURÍSTIC,DORMIR-SLEEP APARTAMENTO,302,Carrer de Joaquim Botet i Sisó,7,-,N,-,-,N,-,2,1,11206,Montilivi,485559.0,4646733.0,"2,82570406","41,97245832",2022
2766,HABITATGE D'ÚS TURÍSTIC,-,302,Carrer de Joaquim Botet i Sisó,7,-,N,-,-,N,-,BS,3,11206,Montilivi,485559.0,4646733.0,"2,82570406","41,97245832",2022
2795,HABITATGE D'ÚS TURÍSTIC,-,304,Carrer de Joaquim Vayreda,65,-,N,-,-,N,-,7,2,4078,Eixample Nord,484488.0,4648015.0,"2,81274385","41,98398449",2022
2800,HABITATGE D'ÚS TURÍSTIC,-,306,Plaça de Jordi de Sant Jordi,2,-,N,-,-,N,-,2,12,3825,Mercadal,485268.0,4648096.0,"2,82215770","41,98472900",2022
2801,HABITATGE D'ÚS TURÍSTIC,-,306,Plaça de Jordi de Sant Jordi,2,-,N,-,-,N,-,2,7,3825,Mercadal,485268.0,4648096.0,"2,82215770","41,98472900",2022
2807,HABITATGE D'ÚS TURÍSTIC,-,307,Carrer de Josep Clarà i Ayats,5,-,N,-,-,N,-,3,C,11923,Montilivi,485805.0,4646608.0,"2,82867617","41,97133695",2022
2922,HABITATGE D'ÚS TURÍSTIC,-,317,Carrer de Juli Garreta,15,-,N,-,-,N,-,3,A,1205,Eixample Nord,485055.0,4647475.0,"2,81960220","41,97913186",2022
2948,HABITATGE D'ÚS TURÍSTIC,-,317,Carrer de Juli Garreta,25,-,N,-,-,N,B,2,3,1360,Eixample Nord,485019.0,4647381.0,"2,81917005","41,97828455",2022
2956,HABITATGE D'ÚS TURÍSTIC,-,317,Carrer de Juli Garreta,28,-,N,-,-,N,-,3,G,11270,Eixample Nord,484960.0,4647401.0,"2,81845737","41,97846356",2022
2957,HABITATGE D'ÚS TURÍSTIC,STAYINGIRONA,317,Carrer de Juli Garreta,28,-,N,-,-,N,-,4,H,11270,Eixample Nord,484960.0,4647401.0,"2,81845737","41,97846356",2022
2963,HABITATGE D'ÚS TURÍSTIC,-,319,Carrer de Julià de Chia,41,-,N,-,-,N,-,2,-,540,Carme,485741.0,4646985.0,"2,82789460","41,97473131",2022
2971,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,327,Carrer de la Llebre,3,-,N,-,-,N,-,1,-,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2972,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,327,Carrer de la Llebre,3,-,N,-,-,N,-,2,-,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2973,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,327,Carrer de la Llebre,3,-,N,-,-,N,-,3,-,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2974,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,327,Carrer de la Llebre,3,-,N,-,-,N,-,BS,1,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2976,HABITATGE D'ÚS TURÍSTIC,CAN VESPA,327,Carrer de la Llebre,4,-,N,-,-,N,-,BS,-,17,Barri Vell,485606.0,4647979.0,"2,82624082","41,98368147",2022
2977,HABITATGE D'ÚS TURÍSTIC,LA COMUNA OASIS,327,Carrer de la Llebre,5,-,N,-,-,N,-,1,1,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2978,HABITATGE D'ÚS TURÍSTIC,LA COMUNA OASIS,327,Carrer de la Llebre,5,-,N,-,-,N,-,1,2,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2979,HABITATGE D'ÚS TURÍSTIC,LA COMUNA OASIS,327,Carrer de la Llebre,5,-,N,-,-,N,-,2,1,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2980,HABITATGE D'ÚS TURÍSTIC,LA COMUNA OASIS,327,Carrer de la Llebre,5,-,N,-,-,N,-,2,2,5854,Barri Vell,485597.0,4648003.0,"2,82613159","41,98389747",2022
2983,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,3,-,N,-,-,N,-,2,1,5764,Barri Vell,485404.0,4647962.0,"2,82380279","41,98352464",2022
2984,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,3,-,N,-,-,N,-,3,1,5764,Barri Vell,485404.0,4647962.0,"2,82380279","41,98352464",2022
2985,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,3,-,N,-,-,N,-,3,2,5764,Barri Vell,485404.0,4647962.0,"2,82380279","41,98352464",2022
2986,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,3,-,N,-,-,N,-,4,1,5764,Barri Vell,485404.0,4647962.0,"2,82380279","41,98352464",2022
2993,HABITATGE D'ÚS TURÍSTIC,APARTAMENT UNIVERSAL FLAT,330,Rambla de la Llibertat,7,-,N,-,-,N,-,1,1,5766,Barri Vell,485406.0,4647970.0,"2,82382673","41,98359673",2022
2999,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,10,-,N,-,-,N,-,2,-,5709,Barri Vell,485437.0,4647900.0,"2,82420268","41,98296684",2022
3004,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,14,-,N,-,-,N,-,4,-,5711,Barri Vell,485426.0,4647917.0,"2,82406948","41,98311975",2022
3022,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,26,-,N,-,-,N,-,1,-,5745,Barri Vell,485439.0,4647971.0,"2,82422507","41,98360635",2022
3024,HABITATGE D'ÚS TURÍSTIC,ONYAR APARTMENTS,330,Rambla de la Llibertat,27,-,N,-,-,N,-,2,-,5776,Barri Vell,485428.0,4648040.0,"2,82409057","41,98422761",2022
3025,HABITATGE D'ÚS TURÍSTIC,ONYAR APARTMENTS,330,Rambla de la Llibertat,27,-,N,-,-,N,-,3,-,5776,Barri Vell,485428.0,4648040.0,"2,82409057","41,98422761",2022
3026,HABITATGE D'ÚS TURÍSTIC,ONYAR APARTMENTS,330,Rambla de la Llibertat,27,-,N,-,-,N,-,4,-,5776,Barri Vell,485428.0,4648040.0,"2,82409057","41,98422761",2022
3029,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,28,-,N,30,-,N,-,2,1,5747,Barri Vell,485444.0,4647986.0,"2,82428505","41,98374154",2022
3032,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,32,-,N,-,-,N,-,3,1,13140,Barri Vell,485447.0,4647999.0,"2,82432095","41,98385869",2022
3041,HABITATGE D'ÚS TURÍSTIC,-,330,Rambla de la Llibertat,39,-,N,-,-,N,-,2,-,5835,Barri Vell,485439.0,4648067.0,"2,82422269","41,98447099",2022
3042,HABITATGE D'ÚS TURÍSTIC,BRAVÍSSIMO,330,Rambla de la Llibertat,39,-,N,-,-,N,-,EN,-,5835,Barri Vell,485439.0,4648067.0,"2,82422269","41,98447099",2022
3043,HABITATGE D'ÚS TURÍSTIC,BRAVÍSSIMO,330,Rambla de la Llibertat,39,-,N,-,-,N,-,PR,-,5835,Barri Vell,485439.0,4648067.0,"2,82422269","41,98447099",2022
3047,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS GIRONA CENTRE,330,Rambla de la Llibertat,43,-,N,-,-,N,-,1,-,5837,Barri Vell,485443.0,4648077.0,"2,82427073","41,98456113",2022
3101,HABITATGE D'ÚS TURÍSTIC,-,334,Avinguda de Lluís Pericot,49,-,N,51,-,N,-,2,2,10128,Palau,485360.0,4646062.0,"2,82331894","41,96641117",2022
3104,HABITATGE D'ÚS TURÍSTIC,-,334,Avinguda de Lluís Pericot,50,-,N,-,-,N,-,6,3,2271,Eixample Sud,485379.0,4646317.0,"2,82354190","41,96870822",2022
3124,HABITATGE D'ÚS TURÍSTIC,-,334,Avinguda de Lluís Pericot,76,-,N,-,-,N,A,6,3,8865,Eixample Sud,485255.0,4646104.0,"2,82205071","41,96678749",2022
3126,HABITATGE D'ÚS TURÍSTIC,-,334,Avinguda de Lluís Pericot,88,-,N,-,-,N,-,3,2,10086,Eixample Sud,485218.0,4646099.0,"2,82160431","41,96674176",2022
3148,HABITATGE D'ÚS TURÍSTIC,-,346,Carrer de la Mare de Déu del Remei,36,-,N,-,-,N,-,2,2,11793,Eixample Nord,484366.0,4647374.0,"2,81128816","41,97820882",2022
3233,HABITATGE D'ÚS TURÍSTIC,-,358,Carrer del Marquès de Caldes de Montbui,37,-,N,-,-,N,-,EN,1,2388,Eixample Sud,484811.0,4646425.0,"2,81668406","41,96967020",2022
3302,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,359,Plaça del Marquès de Camps,8,-,N,-,-,N,-,1,2,1108,Eixample Nord,484984.0,4647789.0,"2,81873715","41,98195860",2022
3303,HABITATGE D'ÚS TURÍSTIC,GIRONA CENTRAL SUITES,359,Plaça del Marquès de Camps,8,-,N,-,-,N,-,4,1,1108,Eixample Nord,484984.0,4647789.0,"2,81873715","41,98195860",2022
3329,HABITATGE D'ÚS TURÍSTIC,-,359,Plaça del Marquès de Camps,15,-,N,-,-,N,-,3,B,1146,Eixample Nord,485041.0,4647779.0,"2,81942547","41,98186962",2022
3353,HABITATGE D'ÚS TURÍSTIC,-,359,Plaça del Marquès de Camps,19,-,N,-,-,N,-,3,2,1150,Eixample Nord,485057.0,4647843.0,"2,81961698","41,98244635",2022
3363,HABITATGE D'ÚS TURÍSTIC,-,369,Carrer del Mas Figueres,1,-,N,-,-,N,-,-,-,3065,Palau,484961.0,4644527.0,"2,81854291","41,95257839",2022
3395,HABITATGE D'ÚS TURÍSTIC,MERCADERS,379,Carrer dels Mercaders,3,-,N,-,-,N,-,1,1,5752,Barri Vell,485454.0,4647969.0,"2,82440619","41,98358862",2022
3396,HABITATGE D'ÚS TURÍSTIC,MERCADERS,379,Carrer dels Mercaders,3,-,N,-,-,N,-,1,2,5752,Barri Vell,485454.0,4647969.0,"2,82440619","41,98358862",2022
3398,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,3,-,N,-,-,N,-,PR,-,5752,Barri Vell,485454.0,4647969.0,"2,82440619","41,98358862",2022
3399,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,5,-,N,-,-,N,-,1,1,5751,Barri Vell,485460.0,4647983.0,"2,82447827","41,98371482",2022
3400,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,5,-,N,-,-,N,-,2,2,5751,Barri Vell,485460.0,4647983.0,"2,82447827","41,98371482",2022
3401,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,5,-,N,-,-,N,-,3,1,5751,Barri Vell,485460.0,4647983.0,"2,82447827","41,98371482",2022
3403,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,6,-,N,-,-,N,-,1,1,5739,Barri Vell,485475.0,4647972.0,"2,82465962","41,98361602",2022
3404,HABITATGE D'ÚS TURÍSTIC,ESPAIS SINGULARS,379,Carrer dels Mercaders,6,-,N,-,-,N,-,1,4B,5739,Barri Vell,485475.0,4647972.0,"2,82465962","41,98361602",2022
3405,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,6,-,N,-,-,N,-,3,2,5739,Barri Vell,485475.0,4647972.0,"2,82465962","41,98361602",2022
3406,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,6,-,N,-,-,N,-,4,3,5739,Barri Vell,485475.0,4647972.0,"2,82465962","41,98361602",2022
3407,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,6,-,N,-,-,N,-,4,3,5739,Barri Vell,485475.0,4647972.0,"2,82465962","41,98361602",2022
3411,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,7,-,N,-,-,N,-,2,-,5750,Barri Vell,485464.0,4647991.0,"2,82452636","41,98378695",2022
3412,HABITATGE D'ÚS TURÍSTIC,-,379,Carrer dels Mercaders,7,-,N,-,-,N,-,3,-,5750,Barri Vell,485464.0,4647991.0,"2,82452636","41,98378695",2022
