"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"92226";"48002";"FUNDACIÓ JOAN BRUGUERA";"0,00";"5.000,00";"5.000,00";"0,00"
"100";"92900";"50000";"FONS DE CONTINGENCIA";"100.000,00";"-99.577,99";"422,01";"0,00"
"110";"92210";"12001";"RETR.BAS.P.FUNCIONARI A2 DEFENSOR CIUTADÀ";"13.035,60";"0,00";"13.035,60";"6.324,08"
"110";"92210";"12003";"RETR.BAS.P.FUNCIONARI C1 DEFENSOR CIUTADÀ";"9.983,82";"0,00";"9.983,82";"4.991,91"
"110";"92210";"12006";"TRIENNIS P FUNCIONARI DEFENSOR CIUTADÀ";"9.104,72";"0,00";"9.104,72";"4.393,83"
"110";"92210";"12009";"ALTRES RETR.BAS.P.FUNCIONARI DEFENSOR CIUTADÀ";"4.684,13";"0,00";"4.684,13";"2.342,06"
"110";"92210";"12100";"COMP. DESTINACIÓ FUNCIONARIS DEFENSOR CIUTADÀ";"10.521,96";"0,00";"10.521,96";"5.165,36"
"110";"92210";"12101";"COMP. ESPECÍFIC FUNCIONARIS DEFENSOR CIUTADÀ";"17.582,80";"-7.450,00";"10.132,80";"4.700,81"
"110";"92210";"13000";"RETR.BAS.P.LABROAL OFICINA DEL DEFENSOR";"0,00";"14.502,95";"14.502,95";"3.864,88"
"110";"92210";"15000";"PRODUCTIVITAT OFICINA DEFENSOR CIUTADÀ";"1.878,00";"939,00";"2.817,00";"0,00"
"110";"92210";"15100";"GRATIFICACIONS OFICINA DEFENSOR CIUTADÀ";"0,00";"0,00";"0,00";"0,00"
"110";"92210";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL OFICINA DEFENSOR CIUTADÀ";"0,00";"9.740,75";"9.740,75";"4.944,61"
"110";"92210";"16000";"QUOTES SOCIALS OFICINA DEFENSOR CIUTADÀ";"16.426,20";"4.551,44";"20.977,64";"8.951,64"
"110";"92211";"22614";"OFICINA DEL DEFENSOR DE LA CIUTADANIA";"3.240,00";"-1.381,12";"1.858,88";"1.490,61"
"110";"92211";"48300";"TRANSFERÈNCIES - OFICINA DEFENSOR DE LA CIUTADANIA";"0,00";"0,00";"0,00";"0,00"
"110";"92211";"62500";"INVERSIÓ OFICINA DEFENSOR CIUTADANIA";"0,00";"0,00";"0,00";"0,00"
"120";"33400";"48001";"PROMOCIÓ CULTURA TRADICIONAL";"0,00";"0,00";"0,00";"0,00"
"120";"33440";"48002";"ASSOCIACIO MUSICAL ESCAMPILLEM - UNDARIUS";"23.000,00";"0,00";"23.000,00";"0,00"
"120";"33440";"48003";"AMICS DE LA SARDANA TERRANOSTRE";"15.500,00";"0,00";"15.500,00";"11.625,00"
