"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"15210";"22600";"PACTE PER L'HABITATGE I PLA ESTRATÈGIC";"30.000,00";"30.000,00";"60.000,00";"0,00"
"100";"49100";"22600";"DESPESES GESTIÓ RADIO MUNICIPAL";"157.583,60";"7.639,31";"165.222,91";"6.848,11"
"100";"91210";"10000";"ÒRGANS DE GOVERN";"405.690,52";"13.279,54";"418.970,06";"81.333,12"
"100";"91210";"11000";"P EVENTUAL PRESIDÈNCIA";"570.826,18";"27.097,00";"597.923,18";"113.006,41"
"100";"91210";"16000";"QUOTES SOCIALS ÒRGANS DE GOVERN";"263.274,42";"13.166,70";"276.441,12";"72.350,27"
"100";"91210";"23000";"INDEMNITZACIONS ÒRGANS DE GOVERN";"410.000,00";"-13.279,54";"396.720,46";"101.722,44"
"100";"91220";"48000";"TRANSFERÈNCIES ALS GRUPS MUNICIPALS";"55.920,00";"-7.920,00";"48.000,00";"12.000,00"
"100";"92010";"48000";"RELACIONS INSTITUCIONALS";"54.000,00";"57.307,30";"111.307,30";"28.809,80"
"100";"92010";"22009";"MATERIAL OFICINA PRESIDÈNCIA";"5.000,00";"569,22";"5.569,22";"160,92"
"100";"92010";"22604";"DESPESES FUNCIONAMENT PRESIDÈNCIA";"57.125,00";"15.827,40";"72.952,40";"5.200,30"
"100";"92010";"12000";"RETR.BAS.P.FUNCIONAR A1 PRESIDÈNCIA";"32.785,75";"0,00";"32.785,75";"7.432,08"
"100";"92010";"12001";"RETR.BAS.P.FUNCIONAR A2 PRESIDÈNCIA";"86.489,62";"0,00";"86.489,62";"17.279,74"
"100";"92010";"12003";"RETR.BAS.P.FUNCIONARI C1 PRESIDÈNCIA";"33.121,17";"0,00";"33.121,17";"9.650,28"
"100";"92010";"12006";"TRIENNIS P FUNCIONARI PRESIDÈNCIA";"21.020,76";"0,00";"21.020,76";"5.022,36"
"100";"92010";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PRESIDÈNCIA";"30.762,82";"0,00";"30.762,82";"0,00"
"100";"92010";"12100";"COMP. DESTINACIÓ FUNCIONARIS PRESIDÈNCIA";"71.033,95";"0,00";"71.033,95";"18.094,76"
"100";"92010";"12101";"COMP. ESPECÍFIC FUNCIONARIS PRESIDÈNCIA";"113.717,67";"0,00";"113.717,67";"29.351,21"
"100";"92010";"13000";"RETR.BAS.P.LABORAL PRESIDÈNCIA";"83.147,58";"0,00";"83.147,58";"16.968,99"
"100";"92010";"14300";"ALTRE PERSONAL ALCALDIA";"0,00";"75.400,00";"75.400,00";"17.541,74"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"5.458,01";"0,00";"5.458,01";"312,30"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"3.406,94";"0,00";"3.406,94";"242,94"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"120.039,17";"0,00";"120.039,17";"36.450,30"
"100";"92010";"48001";"FÒRUM FOMENT GASTRONOMIA";"25.000,00";"0,00";"25.000,00";"25.000,00"
"100";"92011";"22614";"ADMINISTRACIÓ GENERAL";"115.000,00";"75.292,17";"190.292,17";"64.821,49"
"100";"92021";"22711";"PROMOCIÓ I COMUNICACIÓ";"330.000,00";"26.280,29";"356.280,29";"82.083,47"
"100";"92021";"22611";"IMATGE I DISSENY";"25.000,00";"1.462,98";"26.462,98";"217,80"
"100";"92031";"22612";"OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"60.000,00";"-22.196,50";"37.803,50";"2.541,00"
"100";"92031";"48000";"TRANSF OFICINA ESTUDIS SOCIALS - PREMI EUROPA";"10.000,00";"1.837,34";"11.837,34";"0,00"
"100";"92041";"22712";"OFICINA DE L'OBSERVATORI";"10.000,00";"0,00";"10.000,00";"0,00"
"100";"92051";"14300";"ALTRE PERSONAL DESENVOLUPAMENT INTEL·LIGENT";"0,00";"216.251,78";"216.251,78";"25.913,84"
"100";"92051";"22601";"DESENVOLUPAMENT INTEL·LIGENT";"150.000,00";"-108.970,05";"41.029,95";"1.588,13"
"100";"92051";"22615";"GIRONA CIUTAT TECNOLÒGICA I DIGITAL";"65.000,00";"-3.348,14";"61.651,86";"7.743,81"
"100";"92051";"62900";"SENSORS I DISPOSITIUS SMARTCITY";"0,00";"20.000,00";"20.000,00";"0,00"
"100";"92221";"22619";"DESPESES RELACIONS INSTITUCIONALS";"28.000,00";"976,15";"28.976,15";"6.313,22"
"100";"92222";"46600";"ASSOCIACIÓ DE MUNICIPIS DE CATALUNYA";"13.615,00";"13.615,00";"27.230,00";"13.615,00"
"100";"92223";"46600";"FEDERACIÓ DE MUNICIPIS";"13.615,00";"0,00";"13.615,00";"0,00"
"100";"92224";"48000";"TRANSFERÈNCIES UNIVERSITAT DE GIRONA";"24.040,00";"0,00";"24.040,00";"0,00"
"100";"92900";"50000";"FONS DE CONTINGÈNCIA";"3.632.965,00";"-63.915,00";"3.569.050,00";"0,00"
"110";"92210";"12001";"RETR.BAS.P.FUNCIONARI A2 DEFENSOR CIUTADÀ";"14.414,91";"0,00";"14.414,91";"3.213,18"
"110";"92210";"12004";"RETR.BAS.P.FUNCIONARI C2 DEFENSOR CIUTADÀ";"9.358,08";"0,00";"9.358,08";"1.829,40"
"110";"92210";"12006";"TRIENNIS P FUNCIONARI DEFENSOR CIUTADÀ";"7.876,66";"0,00";"7.876,66";"1.728,17"
"110";"92210";"12009";"ALTRES RETR.BAS.P.FUNCIONARI DEFENSOR CIUTADÀ";"5.246,60";"0,00";"5.246,60";"0,00"
"110";"92210";"12100";"COMP. DESTINACIÓ FUNCIONARIS DEFENSOR CIUTADÀ";"11.034,49";"0,00";"11.034,49";"2.654,41"
"110";"92210";"12101";"COMP. ESPECÍFIC FUNCIONARIS DEFENSOR CIUTADÀ";"21.270,37";"0,00";"21.270,37";"5.710,05"
"110";"92210";"16000";"QUOTES SOCIALS OFICINA DEFENSOR CIUTADÀ";"15.722,41";"0,00";"15.722,41";"4.346,64"
"110";"92210";"62500";"MOBILIARI DEFENSORA DE LA CIUTADANIA";"0,00";"199,65";"199,65";"199,65"
"110";"92211";"22614";"OFICINA DEL DEFENSOR DE LA CIUTADANIA";"5.000,00";"-1.402,00";"3.598,00";"0,00"
"110";"92211";"48000";"TRANFERÈNCIES OFICINA DEFENSORA DE LA CIUTADANIA";"0,00";"1.402,00";"1.402,00";"1.402,00"
"120";"15100";"22610";"CARTOGRAFIA DIGITAL";"126.700,00";"17.699,04";"144.399,04";"35.319,75"
"120";"15100";"61900";"RETOLACIÓ DE CARRERS";"0,00";"22.511,45";"22.511,45";"4.680,09"
"120";"15100";"62400";"VEHICLES UMAT";"0,00";"30.250,00";"30.250,00";"0,00"
"120";"15100";"12000";"SBASE PFUNCIONARI A1 UMAT";"49.178,63";"0,00";"49.178,63";"11.148,12"
"120";"15100";"12001";"SBASE PFUNCIONARI A2 UMAT";"14.414,91";"0,00";"14.414,91";"2.570,55"
"120";"15100";"12003";"RETRIBUCIONS P.FUNCIONARI UMAT";"22.080,78";"0,00";"22.080,78";"7.237,71"
"120";"15100";"12004";"RETR.BAS.P.FUNCIONARI C2 UMAT";"9.358,08";"0,00";"9.358,08";"0,00"
"120";"15100";"12006";"TRIENNIS P.FUNCIONARI UMAT";"26.776,31";"0,00";"26.776,31";"5.930,37"
"120";"15100";"12009";"ALTRES RETR. BÀSIQUES P. FUNCIONARI UMAT";"23.898,46";"0,00";"23.898,46";"0,00"
"120";"15100";"12100";"COMPLEMENT DESTINACIÓ P. FUNCIONARI UMAT";"47.804,34";"0,00";"47.804,34";"11.784,30"
"120";"15100";"12101";"COMPLEMENT FUNCIONARI P.FUNCIONARI UMAT";"101.231,99";"0,00";"101.231,99";"24.647,67"
"120";"15100";"13000";"RETR.BAS.P.LABORAL UMAT";"51.455,79";"0,00";"51.455,79";"11.077,85"
"120";"15100";"16000";"QUOTES SOCIALS UMAT";"80.366,92";"0,00";"80.366,92";"22.181,88"
"120";"15100";"22100";"SUBM. ENERGIA ELÈCTRICA UMAT";"5.137,90";"0,00";"5.137,90";"414,74"
"120";"15100";"62600";"SISTEMA DE VIGILÀNCIA";"190.000,00";"7.731,90";"197.731,90";"7.731,90"
"120";"15100";"62900";"SENSORS I DISPOSITIUS SMARTCITY";"0,00";"13.000,00";"13.000,00";"0,00"
"120";"49100";"62900";"CIUTAT INTEL·LIGENT";"0,00";"25.000,00";"25.000,00";"0,00"
"120";"49100";"62901";"PLATAFORMA CONTROL AMBIENTAL";"0,00";"60.000,00";"60.000,00";"0,00"
"130";"33220";"22199";"ALTRES SUBMINISTRAMENTS ARXIU";"1.070,00";"24,02";"1.094,02";"211,10"
"130";"33220";"62500";"MOBILIARI DEL SERVEI DE GESTIÓ DOCUMENTAL, ARXIUS I PUBLICAC";"0,00";"1.114,50";"1.114,50";"964,76"
"130";"33220";"22009";"MATERIAL OFICINA ARXIU";"1.715,00";"1,67";"1.716,67";"40,68"
"130";"33220";"12000";"RETR.BAS.P.FUNCIONARI A1 GESTIÓ DOC, ARXIUS I PUBL.";"81.964,39";"0,00";"81.964,39";"18.373,71"
"130";"33220";"12001";"RETR.BAS.P.FUNCIONARI A2 GESTIÓ DOC, ARXIU I PUBL.";"86.489,48";"0,00";"86.489,48";"19.064,87"
"130";"33220";"12003";"RETR.BAS.P.FUNCIONARI GESTIÓ DOC, ARXIU I PUBL.";"9.714,00";"0,00";"9.714,00";"2.412,57"
"130";"33220";"12004";"RETRIBUCIONS P.FUNCIONARI C2 GESTIÓ DOC.ARXIU I PUBLICACIONS";"9.358,08";"0,00";"9.358,08";"1.896,33"
"130";"33220";"12006";"TRIENNIS P FUNCIONARI GESTIÓ DOC, ARXIU I PUBL";"38.916,71";"0,00";"38.916,71";"8.571,72"
"130";"33220";"12009";"ALTRES RETR.BAS.P.FUNCIONARI GESTIÓ DOC, ARXIU I PUBL.";"42.939,78";"0,00";"42.939,78";"0,00"
"130";"33220";"12100";"COMP. DESTINACIÓ FUNCIONARIS GESTIÓ DOC, ARXIU I PUBL.";"93.545,02";"0,00";"93.545,02";"23.107,11"
"130";"33220";"12101";"COMP. ESPECÍFIC FUNCIONARIS GESTIÓ DOC, ARXIU I PUBL.";"164.093,67";"0,00";"164.093,67";"41.900,99"
"130";"33220";"13000";"RETR.BAS.P.LABORAL GESTIÓ DOC, ARXIU I PUBL.";"117.589,09";"0,00";"117.589,09";"22.176,27"
"130";"33220";"15100";"GRATIFICACIONS ARXIU";"207,47";"0,00";"207,47";"0,00"
"130";"33220";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL GESTIÓ DOC,ARXIU I PUBL.";"6.202,59";"0,00";"6.202,59";"1.214,73"
"130";"33220";"16000";"QUOTES SOCIALS GESTIÓ DOC, ARXIU I PUBL.";"151.955,44";"0,00";"151.955,44";"41.094,99"
"130";"33220";"21200";"MANTENIMENT ARXIU";"5.075,00";"283,79";"5.358,79";"184,53"
"130";"33220";"22100";"SUBM. ENERGIA ELÈCTRICA ARXIU";"22.658,12";"0,00";"22.658,12";"677,87"
"130";"33220";"22700";"NETEJA ARXIU";"31.402,81";"2.615,61";"34.018,42";"4.490,12"
"130";"33221";"22618";"SISTEMA GESTIÓ DOCUMENTS";"20.700,00";"10.139,90";"30.839,90";"9.326,14"
"130";"33222";"22611";"PROGRAMACIÓ ARXIU";"54.546,00";"4.703,78";"59.249,78";"3.679,69"
"130";"33222";"62300";"INVERSIÓ MÀQUINÀRIA ARXIU";"0,00";"4.947,09";"4.947,09";"174,00"
"130";"33222";"62200";"MILLORA EDIFICI ARXIU";"0,00";"49.300,00";"49.300,00";"49.300,00"
