Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
GARATGE, MAGATZEM, OFICINES I BENZINERA;TELEFÓNICA;300;CR;Joan Torró i Cabratosa;22;;N;;;N;;BS;1;8842;483939;4645557;483845;4645352;2,80506051;41,95998972
RESTAURANT;DOMINO'S PIZZA;56;CR;Barcelona;12;;N;;;N;;BS;1;1116;485068;4647919;484974;4647714;2,81862419;41,98128575
AGENCIA DE TRANSPORTS;;12;CR;Alacant;1;;N;;;N;;BS;;4874;484493;4646497;484399;4646292;2,81172087;41,96846713
CENTRE - TALLER DE FORMACIÓ OCUPACIONAL;ESCOLA TÈCNICA GIRONA;56;CR;Barcelona;199;;N;;;N;;;;3544;484547;4645927;484453;4645722;2,81238759;41,96333438
BAR MUSICAL;LA IMPREMTA;513;CR;Ramon Turró;18;;N;0;;N;;BS;;4095;484963;4648204;484869;4647999;2,81734942;41,98385065
VENDA MAJOR DE SABATES;MERKALZADOS;434;PG;Olot;64;;N;;;N;;BS;;5150;483962;4647241;483868;4647036;2,80529205;41,97515744
BAR-RESTAURANT (CAT. 2);JORBEL;587;PL;Sant Pere;6;;N;;;N;;BS;;6319;485618;4648851;485524;4648646;2,82524047;41,98969022
EXP.VENDA I TALLER REPARACIO VEHICLES;AM 94;300;CR;Joan Torró i Cabratosa;38;;N;;;N;;;;8843;483835;4645556;483741;4645351;2,80380556;41,95997858
BAR-RESTAURANT;BALMES;52;CR;Jaume Balmes;5;;N;7;;N;2;BS;1;2645;485087;4647279;484993;4647074;2,81886982;41,97552184
BAR;CATALUNYA;585;AV;Sant Narcís;91;;N;0;;N;;;;4666;484592;4647018;484498;4646813;2,81290199;41,97316155
PERRUQUERIA;;552;CR;Rosselló;36;;N;;;N;;BS;1;5285;484357;4646703;484263;4646498;2,81007403;41,97031981
DESPATX D'ADVOCAT;BUFET RIBAS;74;CR;Tomás de Lorenzana;31;;N;;;N;;EN;;1323;485247;4647584;485153;4647379;2,82079336;41,97827189
REPARACIÓ D'ELECTRODOMÈSTICS;BHS INTERSERVICE;446;CR;Pare Coll;22;;N;;;N;;;;5509;484551;4647602;484457;4647397;2,81239176;41,97842065
DESPATX PROFESSIONAL D'ECONOMISTA;ECONOMIA I GESTIÓ;585;AV;Sant Narcís;28;;N;;;N;;EN;3;5517;484654;4647563;484560;4647358;2,81363605;41,9780714
DESPATX PER A REPARTIMENT DE FEINES.;NCR ESPAÑA S.A.;596;CR;Santa Eugènia;50;;N;;;N;;EN;2;4251;484726;4647850;484632;4647645;2,81449766;41,98065772
SERVEIS JURÍDICS;BUFET JAMBERT ADVOCATS ASSOCIATS;359;PL;Marquès de Camps;9;;N;;;N;;6;4;1109;485081;4647979;484987;4647774;2,81877959;41,9818264
BAR RESTAURANT (CAT. 3) I ELABORACIÓ I VENDA DE GELATS;TAVERNA URTAU;29;CR;Anselm Clavé i Camps;9;;N;;;N;;BS;;3794;485429;4648352;485335;4648147;2,82297112;41,98519241
IMPRENTA;IMPRENTA SANT NARCÍS, IMPRESSIÓ I ARTS GRÀFIQUES;347;CR;Mare de Déu dels Àngels;26;;N;0;;N;;;;5627;484433;4647438;484339;4647233;2,81097178;41,97694122
CENTRE SOCIAL;CLUB SANT JORDI;596;CR;Santa Eugènia;191;;N;;;N;;BS;1;5424;483693;4647385;483599;4647180;2,80204122;41,97644887
AUTOSERVEI D'ALIMENTACIÓ;CONDIS;459;CR;Pere Compte;5;;N;0;;N;;BS;;5604;484526;4647533;484432;4647328;2,81209182;41,97779869
VENDA PA I BOLLERIA AMB DEGUSTACIÓ;ANTIGA CASA BELLSOLÀ;166;CR;Creu;10;;N;;;N;;BS;2;1533;485402;4647289;485308;4647084;2,82267164;41,97561782
BAR;PUENTE MAYOR;281;CR;Illa de La Gomera;8;;N;;;N;;BS;;7133;485490;4651150;485396;4650945;2,82363822;42,01039413
RESTAURANT;TAJ INDIAN;161;CR;Cort Reial;6;;N;;;N;;BS;;5801;485625;4648314;485531;4648109;2,82533814;41,98485377
TALLER OCUPACIONAL, RENTAT VEHICLES, CUINA CENTRAL , BUGADERIA D'AUTOSERVEI,  CENTRE COMPLEMENTARI;TALLER MONTILIVI XIRGU;718;CR;Indústria;22;;N;0;;N;;;;9150;483918;4646069;483824;4645864;2,80479308;41,96460072
TALLER SERRALLERIA METAL.LICA;METÀL·LICS CABRATOSA;721;CR;Can Pau Birol;42;;N;0;;N;;;;4864;483644;4645948;483550;4645743;2,80148982;41,96350526
ELABORACIO I VENDA DE PA I ART.PASTISSE.;Nº. LOCALS: 7-8-10;689;RB;Xavier Cugat;6;;N;;;N;;BS;1;7360;484957;4649159;484863;4648954;2,81725248;41,99245189
RESTAURANT (SALA DE BANQUETS);EL CELLER DE CAN ROCA;105;CR;Can Sunyer;48;;N;0;;N;;;;8317;484171;4649266;484077;4649061;2,80776002;41,99340016
BAR I VENDA DE CAFÈ;EL CAFETI;260;CR;Jaume I;60;;N;;;N;;BS;1;1147;485148;4647996;485054;4647791;2,81958794;41,98198078
AUTOSERVEI D'ALIMENTACIÓ;LIDL;56;CR;Barcelona;56;;N;;;N;;BS;;1138;484916;4647444;484822;4647239;2,8168016;41,97700468
VDA.MN. D'ELECTRODOMESTICS;CALBET;386;CR;Migdia;4;;N;0;;N;;;;1325;485282;4647556;485188;4647351;2,82121653;41,97802036
BAR SENSE ELEMENTS DE COCCIÓ;PORCUS PORCUS;140;PL;Catalunya;25;;N;;;N;;BS;1;1045;485406;4647985;485312;4647780;2,8227026;41,98188654
ARTICLES PARAMENT, REGALS, TÈXTILS I ORN;HIPERCOR SA;56;CR;Barcelona;139;;N;;;N;;BS;;2537;484699;4646469;484605;4646264;2,81420776;41,96821897
OFICINES I MAGATZEM MATERIAL DE CONSTRUCCIÓ;OBYCALL;300;CR;Joan Torró i Cabratosa;18;;N;0;;N;;;;5053;483995;4645633;483901;4645428;2,8057342;41,96067537
RESTAURANT;RESTAURANT CA L'ESTEVE;93;CR;Camp de les Lloses;9;;N;;;N;;;;5082;483931;4645055;483837;4644850;2,80497771;41,9554682
RESTAURANT;ALDOLINI;426;CR;Nord;22;;N;;;N;;BS;3;3850;485404;4648407;485310;4648202;2,82266795;41,98568731
COMERÇ AL DETALL DE FRUITES I VERDURES;;166;CR;Creu;30;;N;;;N;;BS;3;1439;485285;4647315;485191;4647110;2,82125879;41,97584981
SALÓ DE BELLESA I PERRUQUERIA;RISSOS;359;PL;Marquès de Camps;19;;N;;;N;E;5;;1150;485151;4648048;485057;4647843;2,81962283;41,98244918
