Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
EXPLOTACIÓ D'APARCAMENTS PÚBLICS;SABA;69;CR;Berenguer Carnicer;1;A;N;;;N;;ST;;11248;485392;4648564;485298;4648359;2,82251918;41,98710114
ESTACIO DE SERVEI (BETZINERA);Petrocat, benzinera;478;CR;Pont Major;131;;N;0;;N;;;;7256;485763;4651563;485669;4651358;2,8269251;42,01411886
BAR RESTAURANT (CAT. 3);MARI;689;RB;Xavier Cugat;16;;N;;;N;;BS;1;7362;484908;4649160;484814;4648955;2,81666087;41,99245996
BAR RESTAURANT;NELSON;74;CR;Tomás de Lorenzana;44;;N;;;N;A;BS;1;1225;485079;4647693;484985;4647488;2,81876273;41,97925045
OFICINES;TRESORERIA GENERAL DE LA SEGURETAT SOCIAL;314;AV;Josep Tarradellas i Joan;3;;N;0;;N;;;;4696;484401;4647728;484307;4647523;2,81057782;41,97955252
VENDA I REPARACIO MOTOCICLETES;MOTOS BASOLI;56;CR;Barcelona;197;;N;0;;N;;;;3544;484547;4645927;484453;4645722;2,81238759;41,96333438
BAR-RESTAURANT (CAT. 3);TAPES 23;386;CR;Migdia;23;;N;;;N;;BS;6;1422;485248;4647360;485154;4647155;2,82081106;41,97625442
BAR-RESTAURANT;EL SOL;684;PL;Vi;9;;N;;;N;;BS;;5720;485548;4648123;485454;4647918;2,82441332;41,98313208
RESTAURANT;LA TORRE BONICA;93;CR;Camp de les Lloses;1;;N;0;;N;;;;5078;484014;4645151;483920;4644946;2,8059766;41,95633453
BAR-RESTAURANT (CAT. 3);SUCA MULLA;402;AV;Montilivi;5;;N;;;N;;BS;1;1978;485602;4646876;485508;4646671;2,82509579;41,97190175
VENDA I MUNTATGE D'ACCESSORIS VEHICLES;TIENDAS AURGI;759;CR;Pierre Vilar;2;;N;;;N;;BS;1;10195;484890;4647629;484796;4647424;2,816483;41,97867041
BAR;EL TEU CAFE;689;RB;Xavier Cugat;22;;N;;;N;;BS;3;7385;484855;4649166;484761;4648961;2,81602083;41,99251298
APARCAMENT;PARKING LA DEVESA;212;CR;Figuerola;20;;S;;;N;;ST;;3986;485187;4648416;485093;4648211;2,82004811;41,98576431
SUPERMERCAT;LIDL;719;PL;Salt;2;;N;0;;N;;;;5044;484210;4646033;484116;4645828;2,8083179;41,96428239
VENDA DE MOBLES;KIBUK;56;CR;Barcelona;232;;N;234;;N;;;;8708;484063;4644653;483969;4644448;2,80658137;41,95185018
TRACTAMENT DE RESIDUS PER INCINERACIÓ;TRARGISA;99;DI;Campdorà;27;;N;;;N;;;;10388;486079;4652777;485985;4652572;2,83071267;42,02505856
ESCOLA DE BALLS DE SALÓ I SERVEI DE FOTOGRAFIA;BUENAVIDA, CLUB DE BALL ESPORTIU GIRONA;558;CR;Sant Agustí;20;;N;0;;N;;;;2218;485245;4646597;485151;4646392;2,82079404;41,96938226
ELABORACIÓ I VENDA DE PLATS CUINATS;PLATS CUINATS JOAN VICENS;596;CR;Santa Eugènia;164;;N;0;;N;;;;4778;484017;4647475;483923;4647270;2,80594952;41,97726612
TALLER REPARACIÓ D'AUTOMOBILS;TALLER GIROSPORT;12;CR;Alacant;9;;N;0;;N;;;;4873;484514;4646421;484420;4646216;2,81197632;41,96778303
CAFE RESTAURANT;SELF L'ENTRAMA;720;CR;Salt;10;;N;14;;N;;BS;;5063;484134;4646239;484040;4646034;2,80739517;41,96613624
OFICINES DE REDACCIÓ DIARI;EL PUNT;596;CR;Santa Eugènia;42;;N;0;;N;;;;4219;484854;4647938;484760;4647733;2,81604048;41,98145278
EXP.-MAG. MAT. FERRETERIA I BRICOLATGE;;129;CR;Cartagena;11;;N;;;N;;BS;;4979;484425;4646351;484331;4646146;2,81090407;41,96715081
BAR RESTAURANT;LA CURREÑA DE L'ÀNGELA;810;CR;Cartellà;15;;N;;;N;;BS;;7715;483408;4649380;483314;4649175;2,79854477;41,99441118
MAGATZEM DE PINTURA;FRADERA PINTORS 94 SL;733;CR;Trens Petits;14;;N;0;;N;;;;10142;484185;4645561;484091;4645356;2,80802892;41,96003073
TALLER REPARACIÓ DE VEHICLES;GUDAYOL AUTO TALLER;596;CR;Santa Eugènia;97;;N;;;N;;BS;;4739;484203;4647524;484109;4647319;2,80819329;41,97771121
BAR-RESTAURANT (CAT. 1);DOUBLE STAR;408;CR;Montnegre;27;;S;;;N;;BS;;5644;484026;4647167;483932;4646962;2,80606654;41,97449225
BOTIGA DE ROBA;MANGO;386;CR;Migdia;4;;N;0;;N;;;;1325;485282;4647556;485188;4647351;2,82121653;41,97802036
OFICINA BANCARIA;SABADELL ATLANTICO;296;CR;Joan Maragall;51;;N;;;N;;;;2690;485154;4647392;485060;4647187;2,81967565;41,97654086
BOTIGA DE ROBA;Magaldi;593;CR;Santa Clara;6;;N;;;N;;;;3680;485419;4648042;485325;4647837;2,82285811;41,98240016
BAR RESTAURANT (CAT. 1);GÜELL;262;CR;Riu Güell;184;;N;;;N;;BS;1;5343;484195;4646928;484101;4646723;2,80811278;41,97234307
DESPATX DE LAMPISTERIA;Instal·lacions Serra;454;CR;Pedret;24;;N;;;N;;;;6670;485690;4649070;485596;4648865;2,82610436;41,99166399
FABRICACIO DE PROTESI DENTAL.;Laboratori de Pròtesi Dental;272;CR;Hortes;22;;N;;;N;;EN;F;3808;485356;4648272;485262;4648067;2,82209187;41,98447052
BAR;EL REC;454;CR;Pedret;138;;N;0;;N;;BS;;6725;485603;4649598;485509;4649393;2,82504102;41,99641791
BAR-SALA DE BALL;PAPARAZZI;111;PG;José Canalejas;2;;N;;;N;;BS;2;3858;485469;4648500;485375;4648295;2,82345033;41,98652614
RESTAURANT;Gran Muralla, restaurant xinès , magatzem /local afecte;184;CR;Francesc Eiximenis;15;;N;0;;N;;BS;;3767;485291;4648267;485197;4648062;2,82130733;41,98442427
SALA D'ESPECEJAMENT;ROURA COLL, S.L.;93;CR;Camp de les Lloses;4;;N;;;N;;;;11685;483927;4645218;483833;4645013;2,80492499;41,95693621
BAR MUSICAL;LA MOSCA AZIMUT;169;TR;Creu;13;;N;;;N;;BS;2;1462;485349;4647347;485255;4647142;2,82203048;41,97613922
CARNISSERIA;CARNISSERIA XARCUTERIA J.PRUJÀ;24;CR;Andreu Tuyet i Santamaria;10;;N;;;N;;BS;2;1963;485650;4646905;485556;4646700;2,82567441;41,97216382
BAR;EL DESIG;24;CR;Andreu Tuyet i Santamaria;20;;N;0;;N;;BS;;1951;485750;4646914;485656;4646709;2,82688114;41,9722467
CARNISSERIA XARCUTERIA;CARNISSERIA JORDI TURON;338;CR;Mare de Déu de la Salut;37;B;N;;;N;;BS;1;4755;484224;4647446;484130;4647241;2,80844887;41,97700911
CAFETERIA AMB SALA D'INTERNET;FRANGIPANE;61;CR;Bastiments;7;;S;;;N;;BS;1;4858;484174;4647083;484080;4646878;2,80785514;41,97373868
AGENCIA DE TRANSPORTS;CIT SERVIPACK SA;93;CR;Camp de les Lloses;7;;N;;;N;;;;5083;483956;4645064;483862;4644859;2,80527912;41,95554977
ARXIU ADMINISTRATIU;;280;CR;Illa de Formentera;42;;N;;;N;;BS;;6861;485527;4650858;485433;4650653;2,82409227;42,00776488
ASSISTÈNCIA MÈDICA;SERVEIS MÈDICS;309;CR;Josep Maria Gironella i Pous;11;;N;;;N;;BS;;4641;484700;4647151;484606;4646946;2,81420204;41,97436155
CENTRE D'AUTORENTAT DE VEHICLES;CLUP;595;CT;Santa Coloma;49;;N;0;;N;;;;8929;484239;4646165;484145;4645960;2,80866433;41,96547186
FABRICACIÓ I INSTAL·LACIÓ RÈTOLS LLUM.;INSTALUX;720;CR;Salt;27;;N;0;;N;;;;11890;483863;4646298;483769;4646093;2,80412305;41,96666212
BAR;LA BRUIXETA;95;CR;Campcardós;74;;N;;;N;;BS;1;5667;483801;4647125;483707;4646920;2,80335198;41,97410937
BAR RESTAURANT (CAT. 1);ESPLAI;503;CR;Puigneulós;16;;S;22;;S;;BS;;9371;483999;4646984;483905;4646779;2,80574564;41,97284348
RESTAURANT;EL CABRIT;56;CR;Barcelona;423;;N;0;;N;;;;3635;484194;4644854;484100;4644649;2,80815655;41,95366317
INDUSTRIA CÀRNIA AMB VENDA AL DETALL I ROSTISSERIA;CARNS I EMBOT.JORDI BASSO, SL;152;CR;Collsacabra;2;;N;;;N;;;;9119;483627;4649400;483533;4649195;2,80118833;41,9945959
BAR RESTAURANT (CAT. 1);LA GRANJA;95;CR;Campcardós;27;;N;29;;N;;BS;;5648;483972;4647081;483878;4646876;2,80541712;41,97371658
CENTRE DOCENT I COMPLEX ESPORTIU AMB PISCINA;CCE MONTESORI-PALAU;680;CR;Camí Vell de Fornells;33;;N;;;N;;BS;2;3127;484911;4644501;484817;4644296;2,81681689;41,95049788
LLAR D'INFANTS DE 0 A 3 ANYS;RALET-RALET;136;CR;Castell de Peralada;24;;N;0;;N;;BS;;2139;485360;4646743;485266;4646538;2,82217832;41,97069939
BAR-RESTAURANT (CAT. 3);THE RIVER CAFÈ;55;CR;Barca;2;;N;8;;N;;BS;3;6071;485549;4648698;485455;4648493;2,82441122;41,98831093
VENDA DE ROBA CONFECCIONADA;PULL AND BEAR;560;CR;Sant Antoni Maria Claret;27;;N;0;;N;;;;1184;485249;4647754;485155;4647549;2,82081322;41,97980307
RESTAURANT;LA FARINERA;596;CR;Santa Eugènia;42;;N;0;;N;;;;4219;484854;4647938;484760;4647733;2,81604048;41,98145278
BAR RESTAURANT (CAT. 3);LA FUNDICIÓ;350;CR;Josep Maluquer i Salvador;28;;N;;;N;;;;1467;485384;4647374;485290;4647169;2,82245226;41,97638305
BAR RESTAURANT (CAT. 1);O RINCON GALEGO;375;CR;Maçana;47;;N;0;;N;;;;5205;483894;4647333;483800;4647128;2,80446876;41,97598467
VENDA DE RECANVIS;RODAMENTS GIRONA S.A.;125;CR;Carme;119;;N;;;N;;;;412;485546;4647448;485452;4647243;2,82440581;41,97705254
BASTER;Granger, tendalls i sistemes de protecció solar;575;PG;Sant Joan Bosco;31;;N;;;N;;;;6876;485568;4650804;485474;4650599;2,82458872;42,00727928
BAR RESTAURANT (CAT. 3);PA  AMB TOMATA;383;CR;Mestre Francesc Civil;3;;N;;;N;;BS;1;4247;484745;4647900;484651;4647695;2,81472571;41,98110842
BAR-RESTAURANT (CAT. 1) AMB VENDA DE PRODUCTES ALIMENTARIS ENVASATS;29;14;CR;Albereda;15;;N;;;N;;BS;2;98;485518;4647957;485424;4647752;2,82405527;41,98163642
OFICINA BANCARIA AMB INST.AIRE ACONDIC.;LA CAIXA;296;CR;Joan Maragall;34;;N;0;;N;;BS;;1366;485178;4647569;485084;4647364;2,81996087;41,9781355
CENTRE D'ESTÈTICA;NO + VELLO;198;PL;Europa;3;;N;;;N;;BS;3;4631;484711;4647297;484617;4647092;2,81433101;41,97567674
BAR;BAR TUYET 25;24;CR;Andreu Tuyet i Santamaria;25;;N;;;N;;BS;2;1917;485856;4646954;485762;4646749;2,82815953;41,97260888
APARCAMENT VEHICLES;APARCAMENT TORIN PONS;639;CR;Torín;3;;N;0;;N;;;;12946;484532;4648209;484438;4648004;2,81214641;41,98388732
CASAL D'AVIS I CENTRE DE DIA (GENT GRAN);;182;CR;Josep Ametller i Viñas;56;;N;0;;N;;;;1904;485510;4646966;485416;4646761;2,82398319;41,97271066
EL.LABORACIO I VENDA DE PA I BOLLERIA;FORN DE PA SANT DANIEL;24;CR;Andreu Tuyet i Santamaria;12;;N;0;;N;;BS;;1964;485677;4646909;485583;4646704;2,82600019;41,97220034
CENTRE D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;CASA DEI BAMBINI MONTJUIC;68;CR;Bellpuig;8;;N;10;;N;;BS;2;6575;486590;4649444;486496;4649239;2,8369616;41,99504836
ESCOLA DE MÚSICA;AULA MUSICAL;386;CR;Migdia;45;;N;;;N;;BS;;1687;485243;4647158;485149;4646953;2,82075579;41,97443498
RESTAURANT;LA TAVERNA DE L'ABAD;600;CR;Santa Llúcia;6;;N;;;N;;BS;;6357;485684;4648748;485590;4648543;2,82603978;41,98876374
RECUPERACIÓ FUNCIONAL;GABINET MEDIC DE GIRONA SC;125;CR;Carme;67;;N;0;;N;;BS;;367;485578;4647593;485484;4647388;2,8247885;41,9783591
VENDA DE ROBA CONFECCIONADA;SPRINGFIELD;296;CR;Joan Maragall;16;;N;0;;N;;BS;;1199;485287;4647748;485193;4647543;2,82127207;41,97974974
TALLER DE REPARACIÓ D'AUTOMOBILS I BICIS;AUTO EQUIP;458;CR;Pep Colomer i Martí;7;;N;0;;N;;;;7292;485193;4649587;485099;4649382;2,82009096;41,99631122
FABRICACIO DE PA I PRODUCTES PASTISSERIA;El Torn;262;CR;Riu Güell;161;;N;;;N;;;;5059;484203;4646328;484109;4646123;2,80822549;41,96693922
TALLER MECANIC D'AUTOMOBILS;AUTO TALLER MARTIN;182;CR;Josep Ametller i Viñas;44;;N;0;;N;;;;1901;485453;4646984;485359;4646779;2,82329478;41,97287173
COL.LOCACIO I MANIPULACIO DE VIDRE PLA;CRISTALLERIES GIRONA, SA;566;CT;Sant Feliu;22;;N;0;;N;;;;690;486665;4646695;486571;4646490;2,83792966;41,97029029
VENDA MN.I MAJOR DE PROD. D'ELECTRONICA;ELECTRÒNICA BF;595;CT;Santa Coloma;96;;N;;;N;;;;5071;483777;4645652;483683;4645447;2,80310302;41,96084203
BAR RESTAURANT;EL POU;408;CR;Montnegre;51;;N;;;N;;;;11214;483745;4646706;483651;4646501;2,80268768;41,97033442
BAR - BOTIGA - ESTANC;CAFÈ CAFÈ - DIVERS;193;PL;Espanya;4;;N;;;N;;;;1094;484916;4647718;484822;4647513;2,81679455;41,97947251
PASTISSERIA BAR;PASTISSERIA LA VIENESA;477;PJ;Pont de Pedra;1;;N;0;;N;;;;82;485525;4648063;485431;4647858;2,82413716;41,98259126
BAR RESTAURANT (CAT. 2);CA LA SÒNIA;478;CR;Pont Major;70;;N;;;N;;BS;;7243;485688;4651408;485594;4651203;2,82602309;42,01272147
BAR RESTAURANT (CAT. 3) I ZONA DE JOCS;BURGER KING;719;PL;Salt;3;;N;;;N;;;;5040;484235;4646144;484141;4645939;2,80861662;41,96528264
BOTIGA D'ELECTRODOMÈSTICS I INFORMÀTICA;MEDIA MARKT GIRONA VIDEO;782;CR;Vitòria-Gasteiz;8;;N;0;;N;;;;9448;484464;4645398;484370;4645193;2,81139996;41,9585682
CARNISSERIA;CARNISSERIA XARCUTERIA MANEL PATO;209;RD;Ferran Puig;5;;N;0;;N;;;;3915;485039;4648047;484945;4647842;2,81827087;41,98243805
BAR I VENDA DE PA;CASA MONER;386;CR;Migdia;13;;N;;;N;;BS;;1418;485259;4647397;485165;4647192;2,8209429;41,97658787
BOTIGA MATERIAL ESCOLA, PAPERERIA, ESCRI;ABACUS COOPERATIVA;56;CR;Barcelona;42;;N;;;N;;BS;;10337;484948;4647535;484854;4647330;2,81718551;41,9778249
GIMNÀS AMB SAUNA;BODY FACTORY GIMNÀS;596;CR;Santa Eugènia;120;;N;0;;N;;;;4832;484226;4647607;484132;4647402;2,80846868;41,97845922
RESTAURANT JAPONÈS;TOKYO;334;AV;Lluís Pericot;24;;N;;;N;;BS;2;2143;485495;4646716;485401;4646511;2,82380832;41,97045871
BAR;PANAMÀ;309;CR;Josep Maria Gironella i Pous;1;;N;3;;N;A;BS;1;9055;484720;4647268;484626;4647063;2,81444039;41,97541572
TRES SALES DE CINEMA AMB SERVEI DE BAR;CINEMES ALBENIZ PLAÇA;306;PL;Jordi de Sant Jordi;3;;N;;;N;;BS;;3819;485346;4648306;485252;4648101;2,8219703;41,98477656
BAR SENSE ELEMENTS DE COCCIÓ;ESTELLA;350;CR;Josep Maluquer i Salvador;22;;S;;;N;;BS;1;1450;485327;4647388;485233;4647183;2,82176391;41,97650808
TALLER REPARACIÓ DE MOTOCICLETES;INTERMOTO CODINA SL;709;CR;Torre del Cerdà;5;;N;;;N;;;;7760;484249;4649353;484155;4649148;2,80869941;41,99418531
INSTAL.LACIO I VENDA ANTENES TV I TELEF.;PLANA FÀBREGA;596;CR;Santa Eugènia;202;;N;;;N;;BS;1;5388;483801;4647441;483707;4647236;2,80334326;41,97695548
VENDA DE ROBA;CHARLESTON;569;AV;Sant Francesc;10;A;N;;;N;;BS;2;3670;485366;4648058;485272;4647853;2,82221793;41,98254328
BAR;TRÀNSIT;596;CR;Santa Eugènia;81;;N;0;;N;;BS;;4724;484318;4647579;484224;4647374;2,80957993;41,97820888
CARNISSERIA;CARNICERIA J;331;CR;Riu Llierca;2;;N;;;N;;BS;3;1662;484974;4646618;484880;4646413;2,81752283;41,96956627
REPARACIÓ DE COTXES;Taller R. Rodríguez;454;CR;Pedret;5;;N;;;N;;BS;2;6286;485666;4648937;485572;4648732;2,82581785;41,99046567
AUTOSERVEI ALIMENTACIO;NOVAVENDA;272;CR;Hortes;18;;N;;;N;;BS;1;3806;485388;4648288;485294;4648083;2,82247777;41,98461522
CARNISSERIA;CARNISSERIA XARCUTERIA TAIALÀ;624;CT;Taialà;22;;N;;;N;;BS;;7479;484161;4649351;484067;4649146;2,80763699;41,99416552
GIMNAS;SPORT-STUDIO;402;AV;Montilivi;9;;N;0;;N;A;;;1976;485610;4646841;485516;4646636;2,8251932;41,97158666
TALLER PLANXISTERIA PINTURA AUTOMOBILS;AUTOTECNIC;146;CR;Central;21;;N;;;N;;BS;2;8087;484075;4649607;483981;4649402;2,8065917;41,99646948
BAR;CAFETERIA NIMITZ;158;CR;Cor de Maria;9;;N;;;N;;BS;1;2649;485054;4647289;484960;4647084;2,81847125;41,97561128
FABRICACIÓ D'ARTICLES DE PERFUMERIA I COSMÈTICA;BACHS;12;CR;Alacant;21;;N;;;N;;;;4869;484474;4646287;484380;4646082;2,81149712;41,96657535
VENDA DE CORSETERIA;PROMISE;330;RB;Llibertat;35;;N;;;N;;BS;;5780;485526;4648260;485432;4648055;2,82414436;41,98436559
BAR-RESTAURANT (CAT. 1);CAN NANI;214;CR;Riu Fluvià;1;;N;;;N;;BS;;2557;484622;4646256;484528;4646051;2,81328405;41,96629905
APARCAMENTS PÚBLICS I PRIVATS;SABA;274;PL;Hospital;1;;N;;;N;;;;11937;485342;4647871;485248;4647666;2,82193289;41,98085859
BAR;CAN SI US PLAU;262;CR;Riu Güell;91;;N;;;N;;BS;;4339;484518;4647740;484424;4647535;2,81198979;41,97966292
BAR - RESTAURANT (CAT3);LA TAVERNA D'EN LUCIO;4;CR;Baix;40;;N;;;N;;BS;;4795;484004;4647491;483910;4647286;2,80579217;41,97740997
BAR-RESTAURANT (CAT. 1);ROMA PIZZA;556;CR;Rutlla;83;;N;;;N;;BS;1;1522;485417;4647203;485323;4646998;2,82285483;41,97484352
VDA. MN. DEPRODUCTES CARNICS;CARNISSERIA XARCUTERIA XAVIER TULSÀ;95;CR;Campcardós;1;;N;;;N;;BS;2;5341;484200;4646967;484106;4646762;2,80817208;41,97269443
BAR CAFETERIA;ARTS;330;RB;Llibertat;25;;N;;;N;;BS;;5775;485518;4648241;485424;4648036;2,82404826;41,98419432
SUPERMERCAT D'ALIMENTACIÓ;CAPRABO SA;596;CR;Santa Eugènia;120;;N;0;;N;;;;4832;484226;4647607;484132;4647402;2,80846868;41,97845922
ASSESORIA FISCAL;DEL MORAL ECONOMISTES;359;PL;Marquès de Camps;9;;N;;;N;;6;1;1109;485081;4647979;484987;4647774;2,81877959;41,9818264
BAR-RESTAURANT (CAT. 1);BAR ONYAR;125;CR;Carme;189;;N;;;N;;BS;1;477;485710;4647216;485616;4647011;2,826391;41,97496599
OFICINES;FECSA ENDESA;262;CR;Riu Güell;158;;N;;;N;;BS;1;4842;484241;4647149;484147;4646944;2,80866204;41,97433447
BAR RESTAURANT (CAT. 3);L'ENTRECOT;56;CR;Barcelona;81;;N;;;N;;BS;2;1572;484804;4646908;484710;4646703;2,8154636;41,97217494
ESTACIO DE SERVEI DE CARBURANTS I RENTAT DE VEHICLES;ESTACIO SERVEI VILARROJA;566;CT;Sant Feliu;28;;N;34;;N;;;;703;486777;4646663;486683;4646458;2,83928212;41,97000396
AUTO-ESCOLA;AUTOESCOLA LLADO;166;CR;Creu;36;;N;;;N;;EN;B;2685;485199;4647340;485105;4647135;2,82022013;41,97607336
OFICINES PROPIES;COL·LEGI DE PERIODISTES DE CATALUNYA;428;CR;Nou del Teatre;1;;N;;;N;;1;;27;485576;4648079;485482;4647874;2,8247524;41,9827363
FERRETERIA;ARCON;186;CR;Emili Grahit;18;;N;;;N;;BS;;1708;485390;4647130;485296;4646925;2,82253076;41,97418553
OFICINES DE VENDA I LLOGUER DE PISOS;;585;AV;Sant Narcís;16;;N;;;N;;EN;;5521;484674;4647651;484580;4647446;2,81387517;41,97886438
TALLER REPARACIO AUTOMOBILS I MOTOCICLE.;MOTO BIKE GILI;169;TR;Creu;16;;N;;;N;;BS;;1453;485313;4647342;485219;4647137;2,82159607;41,97609352
VDA. ART. PAPERERIA I OBJECTES ESCRITORI;;142;PL;Catedral;8;;N;;;N;;BS;;5947;485628;4648562;485534;4648357;2,82536828;41,98708748
VENDA DE PA I BOLLERIA ORDINARIA;Forn Montserrat;88;CR;Calderers;13;;N;;;N;;BS;;6032;485517;4648625;485423;4648420;2,8240267;41,98765286
ACADEMIA D'ENSENYAMENT;CEG COL·LECTIU D'ENSENYAMENT;158;CR;Cor de Maria;1;;N;;;N;;BS;1;2652;485065;4647340;484971;4647135;2,81860272;41,97607083
peixateria;FRUITS DEL MAR;350;CR;Josep Maluquer i Salvador;15;;N;;;N;;BS;;1412;485276;4647436;485182;4647231;2,82114712;41,97693945
BAR;OASIS;74;CR;Tomás de Lorenzana;45;;N;;;N;;BS;;1382;485096;4647627;485002;4647422;2,81896961;41,97865633
BAR - RESTAURANT (CAT.2);VINOMI;575;PG;Sant Joan Bosco;59;;N;;;N;;;;7113;485551;4650977;485457;4650772;2,82437916;42,00883711
Vda.A L'ENGROS ESTRIS CUINA;CRISTALERIA RECASENS S.A.;206;CR;Ferran Agulló i Vidal;3;;N;;;N;;BS;1;1168;485157;4647901;485063;4647696;2,81969898;41,98112532
BOTIGA DE COMPLEMENTS DE MODA;;166;CR;Creu;23;;N;;;N;;BS;;11898;485291;4647281;485197;4647076;2,82133206;41,9755437
VIDEO-CLUB;ACUARI VIDEOCLUB;375;CR;Maçana;52;;N;54;;N;;BS;1;5219;483903;4647376;483809;4647171;2,80457621;41,97637214
BAR-RESTAURANT (CAT. 2);CAPRICI;426;CR;Nord;12;;N;;;N;;BS;;3792;485413;4648343;485319;4648138;2,82277819;41,98511105
BOTIGA DE ROBA;MASSIMO DUTTI;330;RB;Llibertat;3;;N;;;N;;BS;;5764;485497;4648163;485403;4647958;2,82379668;41,98349141
CONSULTORI MEDIC;DR. TORRENT - TRAUMATOLEG;317;CR;Juli Garreta;8;;N;;;N;;1;1;1241;485111;4647737;485017;4647532;2,81914787;41,97964735
CONSULTORI MEDIC;DR. J. A. MUÑOZ CREUS;260;CR;Jaume I;41;;N;;;N;;7;3;1013;485210;4647969;485116;4647764;2,82033704;41,98173877
ASSEGURANCES;MUTUALIDAD GENERAL DE PREVISIÓN DEL HOGAR;569;AV;Sant Francesc;21;;N;;;N;;3;B;1018;485292;4648014;485198;4647809;2,82132575;41,98214561
VENDA DE ROBA;BOUTIQUE PARIS;166;CR;Creu;36;;N;38;;N;;BS;1;2685;485199;4647340;485105;4647135;2,82022013;41,97607336
COMERC ENGROS MATERIALS CONSTRUCCIO;AIRSA, impermeabilizants;575;PG;Sant Joan Bosco;47;;N;;;N;;;;6870;485581;4650892;485487;4650687;2,82474355;42,0080721
ODONTOLOGIA;CLINICA DENTAL DRA. ADRIANA M. SARTORIO;166;CR;Creu;5;;N;;;N;;3;3;1528;485436;4647231;485342;4647026;2,82308346;41,97509606
VENDA MANUALITATS I ARTESANIA;TRAÇA;560;CR;Sant Antoni Maria Claret;14;;N;;;N;;BS;1;1214;485191;4647748;485097;4647543;2,82011326;41,97974794
BOTIGA DE ROBA I COMPLEMENTS;CONTRAST;593;CR;Santa Clara;28;;N;;;N;;BS;;3733;485449;4648179;485355;4647974;2,82321685;41,98363463
CARNISSERIA;EL TAST;296;CR;Joan Maragall;48;;N;;;N;;BS;1;2680;485137;4647437;485043;4647232;2,81946932;41,97694584
TALLER PLANXISTERIA MECANICA;Martí Geis, mecànica industrial;575;PG;Sant Joan Bosco;45;;N;;;N;;;;6871;485568;4650881;485474;4650676;2,82458683;42,00797279
PERRUQUERIA;PERRUQUERIA D'HOMES CHACON;295;CR;Joan Bruguera;14;;S;;;N;;BS;1;1858;485201;4646915;485107;4646710;2,82025499;41,97224556
VENDA AL DETALL DE ROBA DE VESTIR.;NICE THINGS;330;RB;Llibertat;29;;N;;;N;;BS;;5777;485522;4648249;485428;4648044;2,82409635;41,98426644
COMERÇ AL DETALL DE CALÇATS I COMPLEMENTS DE PELL;ROSI;427;CR;Nou;10;;N;;;N;;BS;2;3697;485328;4648088;485234;4647883;2,82175847;41,98281277
ACADEMIA D'IDIOMES;EICA IDIOMES;556;CR;Rutlla;106;;N;;;N;;EN;;1513;485362;4647239;485268;4647034;2,82219008;41,97516674
VENDA AL DETALL DE PRODUCTES ALIMENTARIS ENVASATS;CARRERAS;88;CR;Calderers;1;;N;;;N;;BS;;6026;485523;4648591;485429;4648386;2,82409998;41,98734674
VENDA MATERIAL CONSTRUCCIO;GIROP;596;CR;Santa Eugènia;64;;N;;;N;;BS;;4298;484651;4647826;484557;4647621;2,81359296;41,9804401
ÒPTICA;;260;CR;Jaume I;41;;N;;;N;;BS;2;1013;485210;4647969;485116;4647764;2,82033704;41,98173877
FILATELIA I NUMISMÀTICA;ORDÓÑEZ FILATÈLIA;36;CR;Argenteria;17;;N;;;N;;BS;;5846;485558;4648338;485464;4648133;2,82452874;41,9850687
BAR;TRASGOS;411;CR;Montseny;12;;N;;;N;;BS;2;4819;484141;4647406;484047;4647201;2,80744811;41,97664717
PERRUQUERIACLARET;CLARET;560;CR;Sant Antoni Maria Claret;12;;N;;;N;;EN;2;1213;485160;4647731;485066;4647526;2,8197395;41,97959424
VDA.MAJOR ACCESORIS DE VEHICLES;AUTOCRISTAL RALARSA;169;TR;Creu;11;;N;;;N;;BS;;1463;485351;4647356;485257;4647151;2,82205439;41,97622032
BAR;DON COPAS;9;CR;Agudes;30;;N;;;N;;BS;2;5431;483753;4647227;483659;4647022;2,80276981;41,97502706
DESPATX AGENT COMERCIAL;COMAS REPRESENTACIONS;229;CR;Francesc de Ciurana i Hernández;18;;N;;;N;;BS;;1405;485025;4647445;484931;4647240;2,81811724;41,97701577
SERVEI PSICOPEDAGOGIA;ARLOT, SERVEI NEUROPSICOPEDAGOGIC;296;CR;Joan Maragall;19;;N;;;N;;1;1;1348;485330;4647747;485236;4647542;2,82179114;41,97974154
VENDA ARTS. PELL I SABATES;MKS;426;CR;Nord;13;;N;;;N;;BS;2;3820;485387;4648336;485293;4648131;2,8224645;41,98504752
ESTANC;;262;CR;Riu Güell;180;;N;;;N;;BS;;5341;484200;4646967;484106;4646762;2,80817208;41,97269443
ELAB. I VDA PLATS CUINATS,RESTAURANT-BAR;ROSTISSERIA TERRAMAR;459;CR;Pere Compte;23;;N;;;N;;BS;1;5619;484412;4647477;484318;4647272;2,81071727;41,97729207
BAR;LEWIS;507;CR;Punta del Pi;2;;N;;;N;;BS;1;2721;485939;4646791;485845;4646586;2,82916521;41,97114228
