"Descripcio";"Nom_comercial";"Codi_carrer";"Codi_via";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"TALLER DE MUNTATGE DE QUADRES ELÈCTRICS";"TEQ";"732";"CR";"GEORGE STEPHENSON";"34";"";"N";"";"";"N";"";"";"";"10293";"484132";"4645379";"2,80851747";"41,96023584"
"MAGATZEM MATERIAL CLIMATITZACIÓ";"NOVINET";"732";"CR";"GEORGE STEPHENSON";"36";"";"N";"";"";"N";"";"";"";"10292";"484133";"4645389";"2,80852927";"41,96032593"
"?";"DR. RIBOT";"158";"CR";"COR DE MARIA";"10";"";"N";"";"";"N";"";"3";"4";"2658";"484928";"4647086";"2,81807919";"41,97562585"
"?";"CLUB ROCABRUNA";"158";"CR";"COR DE MARIA";"10";"";"N";"";"";"N";"";"1";"";"2658";"484928";"4647086";"2,81807919";"41,97562585"
"COMERÇ AL DETALL D'ARTICLES DE FERRETERIA";"RIGAU GERMANS JUST";"89";"PL";"FRANCESC CALVET I RUBALCABA";"7";"";"N";"";"";"N";"";"BS";"1";"1351";"485260";"4647527";"2,82207539";"41,97960407"
"?";"MISSIONERES COR DE MARIA";"158";"CR";"COR DE MARIA";"2";"";"N";"";"";"N";"";"8";"2";"2655";"484949";"4647146";"2,81833112";"41,97616665"
"CAFETERIA";"1900";"429";"CR";"OBRA";"2";"";"N";"4";"";"N";"";"BS";"1";"3759";"485317";"4648008";"2,82275141";"41,98393733"
"?";"GRAN MURALLA";"166";"CR";"CREU";"10";"";"N";"";"";"N";"";"BS";"1";"1533";"485309";"4647085";"2,82267790";"41,97562404"
"?";"CENTRE DE PSICOPEDAGOGIA";"166";"CR";"CREU";"8";"";"N";"";"";"N";"";"EN";"4";"1532";"485324";"4647082";"2,82285903";"41,97559730"
"SERVEIS INTEGRALS DE CORREUS";"UNIPOST";"166";"CR";"CREU";"6";"";"N";"";"";"N";"";"BS";"1";"1531";"485339";"4647080";"2,82304013";"41,97557957"
"ESTACIÓ DE SERVEI";"SPRINT";"166";"CR";"CREU";"2";"A";"N";"";"A";"N";"";"";"";"1529";"485393";"4647048";"2,82369271";"41,97529236"
"SUPERMERCAT";"CARREFOUR EXPRESS";"386";"CR";"MIGDIA";"163";"";"N";"";"";"N";"";"";"";"2306";"484819";"4646053";"2,81679021";"41,96631987"
"CONSULTA I COMERÇ AL DETALL DE PRÒTESIS AUDITIVES";"GAES";"74";"CR";"TOMÁS DE LORENZANA";"38";"";"N";"";"";"N";"";"BS";"2";"1203";"485038";"4647445";"2,81939776";"41,97886134"
"RESTAURANT";"OSAKA";"386";"CR";"MIGDIA";"91";"";"N";"";"";"N";"";"BS";"";"10997";"485098";"4646684";"2,82014128";"41,97200841"
"OFICINA BANCÀRIA";"BANCAIXA";"56";"CR";"BARCELONA";"24";"";"N";"";"";"N";"";"BS";"";"1121";"484932";"4647554";"2,81811547";"41,97984104"
"INSTAL·LACIONS I REPARACIONS DE FONTANERIES D'AIGUA, GAS I ELECTRICITAT";"GD-INSTAL·LACIONS SL";"512";"CR";"RAMON MUNTANER";"10";"";"N";"";"";"N";"";"BS";"2";"5608";"484460";"4647298";"2,81242480";"41,97752617"
"ACADÈMIA D'ENSENYAMENT I AUTOESCOLA";"ANGEL ANTEQUERA ESCOLA D'INFORMÀTIC@";"386";"CR";"MIGDIA";"40";"";"N";"";"";"N";"";"EN";"1";"2624";"485111";"4647039";"2,82028920";"41,97520602"
"VENDA AL MAJOR DE PAPERERIA I EMBALATGE";"MASSEGUR SA";"89";"PL";"FRANCESC CALVET I RUBALCABA";"8";"";"N";"";"";"N";"";"BS";"";"1352";"485254";"4647519";"2,82200317";"41,97953190"
"CONSULTORI MÈDIC D'UROLOGIA";"GIROREED SL";"317";"CR";"JULI GARRETA";"1";"";"N";"";"";"N";"";"4";"C";"1212";"485072";"4647551";"2,81980547";"41,97981669"
"DESPATX PROFESSIONAL D'ARQUITECTURA";"TECGI SL";"299";"CR";"JOAN TARRÚS I BRU";"2";"";"N";"";"";"N";"";"BS";"2";"1573";"484727";"4646700";"2,81566313";"41,97214541"
"PERRUQUERIA";"ENNAKHIL";"596";"CR";"SANTA EUGÈNIA";"211";"";"N";"";"";"N";"";"BS";"2";"5457";"483484";"4647166";"2,80064779";"41,97631744"
"FARMÀCIA";"FARMÀCIA ANNA SIMON BONET";"568";"PJ";"SANT FELIU";"5";"";"N";"";"";"N";"";"BS";"";"6019";"485448";"4648323";"2,82432500";"41,98677686"
"FARMÀCIA";"FARMÀCIA BORRELL";"125";"CR";"CARME";"127";"";"N";"129";"";"N";"";"BS";"";"10876";"485458";"4647192";"2,82447370";"41,97659052"
"COMERÇ AL DETALL D'ARTICLES DE FERRETERIA I DUPLICAT DE CLAUS";"RUVI SYS";"278";"CR";"ILLA";"5";"";"N";"";"";"N";"";"BS";"5";"10777";"484491";"4647621";"2,81279046";"41,98043593"
"OFICINA D'ALTRES SERVEIS INDEPENDENTS";"ASFA 2002 SL";"569";"AV";"SANT FRANCESC";"13";"";"N";"";"";"N";"";"EN";"1";"1022";"485225";"4647814";"2,82164570";"41,98218832"
"LOCUTORI TELEFÒNIC";"TELE-INTERNET LOCUTORI GIRONA";"125";"CR";"CARME";"179";"";"N";"";"";"N";"";"BS";"1";"481";"485573";"4647031";"2,82586573";"41,97514256"
"TALLER D'IMPRESSIÓ DIGITAL";"STEIN";"807";"CR";"LLORÀ";"4";"";"N";"";"";"N";"";"";"";"12068";"483173";"4648924";"2,79684363";"41,99214453"
"?";"SEBASTIA PI";"386";"CR";"MIGDIA";"14";"";"N";"16";"";"N";"";"1";"2";"2705";"485144";"4647248";"2,82068223";"41,97708903"
"RESTAURANT";"LA MASIA DEL CABRIT";"31";"CT";"ANTIGA D'AMER";"58";"";"N";"";"";"N";"";"BS";"";"8390";"482436";"4648433";"2,78796039";"41,98770619"
"?";"Jordi Torres i Vicente, Enginyer Tècnic Industrial";"596";"CR";"SANTA EUGÈNIA";"189";"";"N";"";"";"N";"";"4";"1";"5424";"483600";"4647180";"2,80204754";"41,97644596"
"BAR SENSE ELEMENTS DE COCCIÓ";"EL CHARRO";"556";"CR";"RUTLLA";"155";"";"N";"";"";"N";"";"BS";"";"1897";"485322";"4646589";"2,82284719";"41,97115698"
"GIMNÀS";"ASSOCIACIÓ CULTURAL CUBANA DE GIRONA";"408";"CR";"MONTNEGRE";"18";"";"N";"";"";"N";"";"BS";"1";"5155";"483901";"4647075";"2,80568354";"41,97550647"
"ESTUDI DE DANSA";"ESCUELA DE HIP-HOP EVOLUTION";"411";"CR";"MONTSENY";"24";"";"N";"";"";"N";"";"BS";"";"5122";"483976";"4647148";"2,80658681";"41,97616548"
"TALLER OCUPACIONAL";"FUNDACIÓ ASTRES";"535";"CR";"RIU CARDENER";"34";"";"N";"";"";"N";"";"";"";"12086";"484716";"4645659";"2,81555741";"41,96276925"
"?";"CENTRE CÍVIC DE SANTA EUGÈNIA (CAN NINETES)";"596";"CR";"SANTA EUGÈNIA";"144";"";"N";"146";"";"N";"";"BS";"1";"4770";"484014";"4647316";"2,80704090";"41,97767937"
"CAMP DE FUTBOL, PISTES POLIESPORTIVES I VESTIDORS, PAVELLÓ POLIESPORTIU";"";"167";"DI";"CREU DE PALAU";"15";"";"N";"";"";"N";"";"";"";"11050";"484592";"4643652";"2,81411356";"41,94469041"
"BOTIGA DE PINTURES PLÀSTIQUES I AUXILIARS DE DECORACIO";"PINTURES EUROCOLOR";"596";"CR";"SANTA EUGÈNIA";"176";"";"N";"";"";"N";"";"BS";"";"4797";"483871";"4647294";"2,80531543";"41,97747831"
"?";"EXCLUSIVES MASSANET, ARTICLES DE PERRUQUERIA";"502";"CR";"PUIGMAL";"2";"";"N";"";"";"N";"";"BS";"ES";"5387";"483715";"4647255";"2,80343353";"41,97712384"
"BAR RESTAURANT (CAT. 1)";"TAZAGHINE";"596";"CR";"SANTA EUGÈNIA";"226";"";"N";"";"";"N";"";"BS";"";"5469";"483555";"4647205";"2,80150368";"41,97667019"
"?";"RAMON COLL, NOTARI";"56";"CR";"BARCELONA";"3";"";"N";"";"";"N";"";"1";"2";"1161";"485019";"4647712";"2,81916161";"41,98126575"
"?";"VIATGES TER";"56";"CR";"BARCELONA";"3";"";"N";"";"";"N";"";"BS";"2";"1161";"485019";"4647712";"2,81916161";"41,98126575"
"?";"ESGLÉSIA CRISTIANA ADVENTISTA DEL SETÈ DIA";"190";"CR";"ENRIC CLAUDI GIRBAL I NADAL";"13";"";"N";"";"";"N";"";"BS";"";"1806";"485303";"4646750";"2,82261386";"41,97260670"
"?";"SOMNIS, matalesseria, roba de casa, cortines i tapisseria";"596";"CR";"SANTA EUGÈNIA";"147";"";"N";"";"";"N";"";"BS";"";"5107";"483873";"4647234";"2,80534122";"41,97693795"
"CARNISSERIA";"BILAL";"592";"CR";"SANT SEBASTIÀ";"8";"";"N";"14";"";"N";"";"BS";"2";"5131";"483975";"4647182";"2,80657381";"41,97647169"
"?";"VINS I CAFÈS PAGÈS";"596";"CR";"SANTA EUGÈNIA";"109";"";"N";"";"";"N";"";"BS";"";"4805";"484021";"4647277";"2,80712646";"41,97732825"
"GIMNÀS";"PROFESSIONAL FITNESS";"596";"CR";"SANTA EUGÈNIA";"101";"";"N";"";"";"N";"";"BS";"";"4765";"484088";"4647304";"2,80793444";"41,97757279"
"?";"Q & T ASSOCIATS, S.C.";"242";"CR";"GARROTXA";"11";"";"N";"";"";"N";"";"EN";"3";"4741";"484164";"4647347";"2,80885064";"41,97796161"
"HOTEL AMB RESTAURANT";"HOTEL CARLEMANY - RESTAURANT EL PATI VERD - ÍNDIGO";"394";"PL";"MIQUEL SANTALÓ";"2";"";"N";"";"";"N";"";"";"";"1331";"485199";"4647424";"2,82134166";"41,97867524"
"SALA DE JOC DE BINGO";"BINGO ""CIUTAT DE GIRONA""";"476";"CR";"PONT DE LA BARCA";"1";"";"N";"";"";"N";"";"BS";"1";"7333";"484966";"4648788";"2,81849432";"41,99095589"
"VENDA-EXPOSICIÓ I TALLER DE REPARACIÓ DE MOTOCICLETES";"MOTOS AURADELL";"476";"CR";"PONT DE LA BARCA";"8";"";"N";"";"";"N";"";"BS";"";"7310";"484999";"4648858";"2,81889094";"41,99158699"
"LLIBRERIA";"LLIBRERIA EMPURIES";"21";"AV";"MARIANO ÁLVAREZ DE CASTRO";"6";"";"N";"";"";"N";"";"BS";"";"1169";"485068";"4647717";"2,81975297";"41,98131172"
"?";"Asserot ascensors";"476";"CR";"PONT DE LA BARCA";"4";"";"N";"";"";"N";"";"BS";"2";"7308";"485004";"4648829";"2,81895204";"41,99132589"
"ESTACIÓ DE SERVEI AMB BOTIGA DE CONVENIÈNCIA I TÚNEL DE RENTAT";"CEPSA";"476";"CR";"PONT DE LA BARCA";"2";"A";"N";"";"A";"N";"";"BS";"";"7314";"485053";"4648823";"2,81954377";"41,99127278"
"?";"SOLERGASTO CORREDORIA D'ASSEGURANCES";"21";"AV";"MARIANO ÁLVAREZ DE CASTRO";"6";"";"N";"";"";"N";"";"1";"";"1169";"485068";"4647717";"2,81975297";"41,98131172"
"?";"OCTAGON";"21";"AV";"MARIANO ÁLVAREZ DE CASTRO";"6";"";"N";"";"";"N";"";"EN";"2";"1169";"485068";"4647717";"2,81975297";"41,98131172"
"?";"EXPLOTACION AGROPECUARIA DEL TER S.L.";"206";"CR";"FERRAN AGULLÓ I VIDAL";"3";"";"N";"";"";"N";"";"PR";"1";"1168";"485064";"4647697";"2,81970519";"41,98113151"
"?";"ELENA CANAL DE DIEGO, ASSEGURANCES";"206";"CR";"FERRAN AGULLÓ I VIDAL";"3";"";"N";"";"";"N";"";"1";"3";"1168";"485064";"4647697";"2,81970519";"41,98113151"
"?";"BOTANCH ADVOCATS";"206";"CR";"FERRAN AGULLÓ I VIDAL";"3";"";"N";"";"";"N";"";"1";"3";"1168";"485064";"4647697";"2,81970519";"41,98113151"
"?";"MAGATZEM DE MATERIAL DE CONSTRUCCIÓ";"358";"CR";"MARQUÈS DE CALDES DE MONTBUI";"107";"";"N";"109";"";"N";"";"";"";"2272";"485218";"4646281";"2,82159974";"41,96838098"
"?";"POLICIA MUNICIPAL";"46";"CR";"BERNAT BACIÀ";"4";"";"N";"";"";"N";"";"";"";"1179";"485099";"4647619";"2,82012966";"41,98042965"
"?";"CEIP MARE DE DEU DEL MONT";"188";"CR";"EMPÚRIES";"45";"";"N";"";"";"N";"";"";"";"5266";"484324";"4646591";"2,81080207";"41,97115577"
"?";"CAN CORNELLA - SUBMINISTRAMENTS AGRICOLES";"46";"CR";"BERNAT BACIÀ";"3";"";"N";"";"";"N";"";"BS";"";"1190";"485125";"4647593";"2,82044416";"41,98019597"
"?";"Equipaments cívics Fontajau, Isidre Molar";"689";"RB";"XAVIER CUGAT";"2";"";"N";"";"";"N";"";"BS";"";"7471";"";"";"";""
"?";"Església de Fontajau";"224";"CR";"FONTAJAU";"3";"";"N";"";"";"N";"";"BS";"3";"7332";"484877";"4648866";"2,81741782";"41,99165671"
"?";"ACM ASSESSORS";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"10";"";"N";"";"5";"5";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"?";"CENTRE DE SEGURETAT I CONDICIONS DE SALUT EN EL TREBALL";"402";"AV";"MONTILIVI";"118";"";"N";"";"";"N";"";"";"";"3010";"485527";"4645124";"2,82535742";"41,95796598"
"?";"AVV Fontajau I";"224";"CR";"FONTAJAU";"3";"";"N";"";"";"N";"";"BS";"4";"7332";"484877";"4648866";"2,81741782";"41,99165671"
"?";"JOSEP Mª GINESTA ROURA, GESTIONS IMMOBILIÀRIES";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"10";"";"N";"";"1";"2";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"?";"P.SOLER CUFÍ";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"10";"";"N";"";"1";"3";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"?";"TOT GESTIÓ: ASSESSORIA GESTORIA";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"10";"";"N";"";"EN";"1";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"?";"JOAN IGLESIAS PUJOL - ARQUITECTE";"166";"CR";"CREU";"39";"";"N";"";"";"N";"";"EN";"2";"2634";"485054";"4647103";"2,81959958";"41,97578137"
"?";"ASISGRAN";"166";"CR";"CREU";"39";"";"N";"";"";"N";"";"EN";"3";"2634";"485054";"4647103";"2,81959958";"41,97578137"
"REGISTRE DE LA PROPIETAT I MERCANTIL 2";"REGISTRE";"237";"CR";"RIU FRESER";"76";"";"N";"";"";"N";"";"";"";"3544";"484458";"4645737";"2,81244190";"41,96346673"
"?";"JORDI ORTIGOSA VILANOVA - ADVOCAT";"166";"CR";"CREU";"52";"";"N";"";"";"N";"";"2";"1";"2669";"484913";"4647195";"2,81789534";"41,97660729"
"COMERÇ A L'ENGRÓS DE MATERIAL ELÈCTRIC, EXPOSICIÓ I VENDA DE LLUMS";"TAINCO";"237";"CR";"RIU FRESER";"88";"";"N";"";"";"N";"";"BS";"";"3544";"484458";"4645737";"2,81244190";"41,96346673"
"?";"FINQUES TREPAT-FONALLERAS";"166";"CR";"CREU";"52";"";"N";"";"";"N";"";"3";"2";"2669";"484913";"4647195";"2,81789534";"41,97660729"
"CENTRE DE DETECCIÓ PRECOÇ DE LA PSICOSI";"";"209";"RD";"FERRAN PUIG";"39";"";"N";"";"";"N";"";"BS";"1";"4024";"484815";"4648154";"2,81668768";"41,98524279"
"?";"CANTÓ ADVOCATS";"166";"CR";"CREU";"42";"";"N";"";"";"N";"";"EN";"4";"2686";"485080";"4647143";"2,81991239";"41,97614212"
"?";"DR. PERE SARQUELLA MATEU I DR. JOAQUIM SARQUELLA GELI";"166";"CR";"CREU";"42";"";"N";"";"";"N";"";"1";"2";"2686";"485080";"4647143";"2,81991239";"41,97614212"
"MAGATZEM DE MATERIALS PER A LA PROTECCIÓ PASSIVA CONTRA EL FOC";"";"31";"CT";"ANTIGA D'AMER";"10";"";"N";"";"";"N";"";"";"";"12123";"482896";"4648612";"2,79350845";"41,98932850"
"?";"DR. B. RUIZ FELIU";"166";"CR";"CREU";"20";"";"N";"";"";"N";"";"EN";"5";"1458";"485251";"4647099";"2,82197749";"41,97574905"
"?";"CAPITAL CREDIT C.C. - SOLUCIONS FINANCERES";"61";"CR";"BASTIMENTS";"24";"";"N";"";"";"N";"";"BS";"";"10801";"484015";"4646998";"2,80706162";"41,97481528"
"?";"FEG METALL";"166";"CR";"CREU";"18";"";"N";"";"";"N";"";"1";"3";"1457";"485263";"4647094";"2,82212246";"41,97570424"
"PAVELLÓ ESPORTIU";"PAVELLÓ MUNICIPAL D'ESPORTS SANTA EUGÈNIA";"434";"PG";"OLOT";"41";"";"N";"";"";"N";"";"";"";"5635";"484096";"4647090";"2,80803679";"41,97564553"
"AUTOSERVEI D'ALIMENTACIÓ";"CADA DIA";"532";"CR";"RIERA RIMAU";"13";"";"N";"";"";"N";"";"BS";"3";"8163";"484062";"4649280";"2,80756702";"41,99536938"
"CENTRAL TELEFÒNICA";"TELEFONICA";"180";"PL";"DIPUTACIÓ";"3";"";"N";"";"";"N";"";"";"";"1015";"485131";"4647810";"2,82051110";"41,98215053"
"?";"ADVOCAT RAMON LLORENTE VARELA";"180";"PL";"DIPUTACIÓ";"2";"";"N";"";"";"N";"";"4";"3";"1019";"485183";"4647816";"2,82113865";"41,98220555"
"?";"DRS. TIBAU";"180";"PL";"DIPUTACIÓ";"1";"";"N";"";"";"N";"";"1";"1";"1019";"485183";"4647816";"2,82113865";"41,98220555"
"?";"BONFILL ADVOCATS";"511";"AV";"RAMON FOLCH";"15";"A";"N";"";"A";"N";"";"2";"2";"3880";"485205";"4648264";"2,82139295";"41,98624094"
"EXPOSICIÓ I VENDA DE MAQUINÀRIA AGRÍCOLA I DE JARDÍ";"ROBERT TORRENT";"105";"CR";"CAN SUNYER";"60";"";"N";"";"";"N";"";"BS";"1";"8319";"483988";"4649009";"2,80668095";"41,99292708"
"?";"CREU ROJA GIRONA";"78";"CR";"BONASTRUC DE PORTA";"13";"";"S";"";"";"N";"";"BS";"2";"4011";"485114";"4648115";"2,82029816";"41,98489724"
"?";"Església St. Gregori (Domeny sud)";"571";"CR";"SANT GREGORI";"200";"";"N";"";"";"N";"";"";"";"10057";"483192";"4648813";"2,79707620";"41,99114520"
"?";"CENTRE SOCIAL - AAVV CAN GIBERT DEL PLA";"437";"CR";"ORIENT";"53";"";"N";"";"";"N";"";"BS";"3";"4856";"484064";"4646850";"2,80765706";"41,97348328"
"SEU SOCIAL I CENTRE DE FORMACIÓ";"FOEG";"78";"CR";"BONASTRUC DE PORTA";"15";"";"N";"";"";"N";"";"1";"2";"4019";"485081";"4648090";"2,81990043";"41,98467144"
"OFICINA DE GESTIÓ DE LES FINQUES DE LA SOCIETAT";"GRUP AMBISIST GIRONA SL";"168";"PJ";"CREU DE PALAU";"19";"";"N";"";"";"N";"";"3";"5";"9585";"485185";"4646116";"2,82120562";"41,96689426"
"OFICINA DE GESTIÓ IMMOBILIÀRIA";"TEYCO SL";"386";"CR";"MIGDIA";"37";"";"N";"";"";"N";"";"4";"1";"10087";"485168";"4647029";"2,82097744";"41,97511703"
"OFICINA DE SERVEIS FINANCERS I COMPTABLES";"PARRAMON ECONOMISTA SL";"172";"CR";"CRISTÒFOR GROBER";"4";"";"N";"";"";"N";"";"EN";"1";"3700";"485184";"4647908";"2,82114841";"41,98303418"
"CONSULTES I CLÍNICA ESTOMATÒLOGA I ODONTOLÒGICA";"CLÍNICA DENTAL LLERS";"209";"RD";"FERRAN PUIG";"35";"";"N";"";"";"N";"";"1";"1";"4024";"484815";"4648154";"2,81668768";"41,98524279"
"BOTIGA DE ROBA";"KIRS SC";"689";"RB";"XAVIER CUGAT";"25";"";"N";"";"";"N";"";"BS";"2";"7419";"484701";"4648901";"2,81529204";"41,99196854"
"CENTRE D'ESTÈTICA I BELLESA";"CENTRE D'ESTÈTICA MEDITERRÀNIA";"71";"CR";"BERNAT BOADES";"84";"";"N";"86";"";"N";"";"BS";"";"10777";"484491";"4647621";"2,81279046";"41,98043593"
"CONSULTORI DE PSICOLOGIA.";"JOSEP FREIXA SERRA";"765";"CR";"ORIOL MARTORELL I CODINA";"18";"";"N";"";"";"N";"";"3";"3";"11012";"484963";"4646905";"2,81850627";"41,97399632"
"OFICINES DE LAMPISTERIA";"D.G.LAMPISTES, SL";"607";"CR";"SARAGOSSA";"15";"";"N";"";"";"N";"";"BS";"";"1578";"484825";"4646636";"2,81684758";"41,97157088"
"FABRICACIÓ ARTESANAL I VENDA DE JOIES";"BAOBAB JOIERIA";"272";"CR";"HORTES";"18";"";"N";"";"";"N";"";"BS";"3";"3806";"485294";"4648083";"2,82247189";"41,98461240"
"PROMOCIÓ IMMOBILIÀRIA";"GRUP PROMOTOR";"147";"CR";"CERVERÍ";"16";"";"N";"";"";"N";"";"1";"";"10695";"484995";"4648197";"2,81885952";"41,98563352"
"ESTUDI DE SERVEIS AMBIENTALS I TÈCNICS";"TRAÇA, ESTUDI DE SERVEIS AMBIENTALS";"166";"CR";"CREU";"19";"";"N";"";"";"N";"";"3";"2";"1512";"485259";"4647060";"2,82207503";"41,97539794"
"OFICINES";"CONSTRUCCIONS DE PASIU";"432";"CR";"OLIVERA";"9";"";"N";"";"";"N";"";"BS";"3";"463";"485544";"4647101";"2,82551398";"41,97577249"
"COMERÇ AL MAJOR I AL DETALL DE FRUITS SECS I VARIS";"FRUITS SECS TULSÀ";"596";"CR";"SANTA EUGÈNIA";"165";"";"N";"167";"";"N";"";"BS";"2";"11006";"483751";"4647201";"2,80386956";"41,97663823"
"FARMÀCIA";"FARMÀCIA E.RIERA CARDELUS";"359";"PL";"MARQUÈS DE CAMPS";"19";"";"N";"";"";"N";"";"BS";"2";"1150";"485057";"4647843";"2,81961698";"41,98244635"
"CONSULTORI MÈDIC";"CENTRE MÈDIC JAUME I";"260";"GV";"JAUME I";"41";"";"N";"";"";"N";"";"BS";"3";"1013";"485116";"4647765";"2,82033117";"41,98174495"
"ACADÈMIA D'ENSENYAMENT";"MULTIESCOLA";"313";"PL";"JOSEP PLA";"4";"";"N";"";"";"N";"";"1";"8";"3709";"485254";"4647966";"2,82199195";"41,98355788"
"?";"CENTRE MÉDIC ESTÉTIC GIRONA";"56";"CR";"BARCELONA";"17";"";"N";"";"";"N";"";"1";"1";"1237";"484996";"4647615";"2,81888645";"41,98039167"
"CENTRE DOCENT AMB MÉS DE 100 PLACES";"ESCOLA VEDRUNA";"56";"CR";"BARCELONA";"21";"";"N";"";"";"N";"";"BS";"";"1236";"484983";"4647580";"2,81873042";"41,98007619"
"?";"Galeria d'art l'Artística";"593";"CR";"SANTA CLARA";"37";"";"N";"";"";"N";"";"BS";"1";"3755";"485353";"4648057";"2,82318477";"41,98437933"
"?";"JAUME JUBERO BUSQUETS, ENGINYER TÈCNIC";"56";"CR";"BARCELONA";"37";"";"N";"";"";"N";"";"5";"B";"1229";"484942";"4647480";"2,81823808";"41,97917474"
"?";"FERRETERIA PUIG";"56";"CR";"BARCELONA";"43";"";"N";"";"";"N";"";"BS";"";"1375";"484929";"4647394";"2,81808336";"41,97839992"
"TALLER I VENDA DE MOTOS I ACCESSORIS";"ZUM ZUM";"434";"PG";"OLOT";"50";"";"N";"";"";"N";"";"BS";"";"5144";"483962";"4647070";"2,80641995";"41,97546268"
"?";"Central elèctrica del Molí";"593";"CR";"SANTA CLARA";"13";"";"N";"";"";"N";"";"BS";"";"3711";"485322";"4647946";"2,82281332";"41,98337901"
"BAR RESTAURANT (CAT. 3) AMB MÚSICA DE FONS AMBIENTAL";"MOMA COOKING SHOP";"56";"CR";"BARCELONA";"5";"";"N";"";"";"N";"";"BS";"";"1160";"485015";"4647699";"2,81911366";"41,98114859"
"BASAR";"EL CORTE ORIENTAL";"434";"PG";"OLOT";"94";"";"N";"";"";"N";"";"BS";"1";"5433";"483661";"4646989";"2,80278913";"41,97472696"
"?";"ACUPUNTURA AMANO";"56";"CR";"BARCELONA";"31";"A";"N";"";"A";"N";"";"1";"3";"1231";"484966";"4647519";"2,81852678";"41,97952646"
"?";"Gi-Sak, bosses, maletes";"593";"CR";"SANTA CLARA";"57";"";"N";"";"";"N";"";"BS";"";"3797";"485369";"4648153";"2,82337553";"41,98524427"
"?";"GREMI D'ESTANQUERS DE LES COMARQUES GIRONINES";"56";"CR";"BARCELONA";"31";"A";"N";"";"A";"N";"";"EN";"4";"1231";"484966";"4647519";"2,81852678";"41,97952646"
"?";"Ballet";"593";"CR";"SANTA CLARA";"54";"";"N";"";"";"N";"";"PR";"2";"3776";"485393";"4648114";"2,82366622";"41,98489345"
"EDICIÓ DE DIARIS I REVISTES";"";"636";"PL";"TOMÀS BARAUT I OBIOLS";"1";"";"N";"";"";"N";"";"BS";"2";"6809";"485404";"4650312";"2,82374440";"42,00469024"
"?";"Col·legi Oficial de Secretaris, Interventors i Tresorers de l Administració Local Província de Giron";"593";"CR";"SANTA CLARA";"48";"";"N";"";"";"N";"";"PR";"1";"3741";"485383";"4648074";"2,82354650";"41,98453300"
"CLUB JUVENIL";"CLUB TEMPIR";"56";"CR";"BARCELONA";"51";"";"N";"";"";"N";"";"BS";"";"1390";"484881";"4647235";"2,81750806";"41,97696694"
"RESIDÈNCIA PER A GENT GRAN";"RESIDENCIA D'AVIS";"56";"CR";"BARCELONA";"49";"";"N";"";"";"N";"";"";"";"1391";"484932";"4647298";"2,81812203";"41,97753534"
"CENTRAL DE TELEFONIA";"TELEFONICA, SERVEI PYMES";"56";"CR";"BARCELONA";"55";"";"N";"";"";"N";"";"";"";"2668";"484893";"4647151";"2,81765506";"41,97621062"
"?";"CAMIL MOLINA, ADVOCATS";"56";"CR";"BARCELONA";"59";"";"N";"";"";"N";"";"EN";"2";"2667";"484857";"4647139";"2,81722085";"41,97610184"
"?";"SANITAS GRUPO BUPA";"56";"CR";"BARCELONA";"12";"";"N";"";"";"N";"";"1";"1";"1116";"484975";"4647716";"2,81863038";"41,98130094"
"?";"DIAGONAL GEST";"56";"CR";"BARCELONA";"12";"";"N";"";"";"N";"";"2";"6";"1116";"484975";"4647716";"2,81863038";"41,98130094"
"?";"OLIMPIA 2";"732";"CR";"GEORGE STEPHENSON";"20";"";"N";"26";"";"N";"";"";"";"10297";"484130";"4645333";"2,80849458";"41,95982150"
"?";"CENTRE D'EDUCACIÓ ESPECIAL PALAU";"168";"PJ";"CREU DE PALAU";"43";"";"N";"";"";"N";"";"";"";"2904";"485197";"4645886";"2,82135623";"41,96482295"
"?";"ESTANYS BLAUS, MICROSOFT CERTIFIED. ASTON BISINESS SOLUTIONS";"56";"CR";"BARCELONA";"12";"";"N";"";"";"N";"";"6";"1";"1116";"484975";"4647716";"2,81863038";"41,98130094"
"?";"AVIVA";"56";"CR";"BARCELONA";"12";"";"N";"";"";"N";"";"6";"4";"1116";"484975";"4647716";"2,81863038";"41,98130094"
"BAR RESTAURANT (CAT. 2)";"CAL FUSTER";"168";"PJ";"CREU DE PALAU";"19";"";"N";"";"";"N";"";"BS";"5";"9585";"485185";"4646116";"2,82120562";"41,96689426"
"PREPARATS ALIMENTARIS I ALTRES PER A ANIMALS DOMÈSTICS I COMERÇ DE MEDICAMENTS D'ÚS VETERINARI";"REMSA";"807";"CR";"LLORÀ";"3";"";"N";"";"";"N";"";"";"";"11809";"483119";"4648935";"2,79619137";"41,99224245"
