,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2007,2006
"Longitud (km)","43,58","41,97","41,65","36,64","36,64","36,64","32,12","28,4","25,4","20,33","20,71","17,65","16,8","16,5","10,5","10,5"
