"Descripcio";"Nom_comercial";"Codi_carrer";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"SERVEI D'ALLOTJAMENT I ESMORZAR";"LA CARMETA";"0001";"Carrer de l'Onze de Setembre";"1";"-";"N";"";"-";"N";"-";"-";"-";"6378";"485812";"4649028";"2,82870224";"41,99313318"
"DEPENDENCIES DE LA SUBDELEGACIÓ DEL GOVERN";"-";"0002";"Avinguda del Vint de Juny";"2";"-";"N";"";"-";"N";"-";"BS";"-";"4016";"485062";"4648020";"2,81967284";"41,98404062"
"BOTIGA DE PRODUCTES ALIMENTARIS";"POMES";"0002";"Avinguda del Vint de Juny";"3";"-";"N";"";"-";"N";"-";"BS";"L1";"3948";"485027";"4647979";"2,81925138";"41,98367068"
"BAR-RESTAURANT SENSE ELEMENTS DE COCCIÓ";"LOTTUS CAFFE";"0002";"Avinguda del Vint de Juny";"7";"-";"N";"";"-";"N";"-";"BS";"-";"3946";"485009";"4647997";"2,81903363";"41,98383246"
"DESPATX ADVOCAT";"-";"0002";"Avinguda del Vint de Juny";"7";"-";"N";"";"-";"N";"-";"4";"2";"3946";"485009";"4647997";"2,81903363";"41,98383246"
" ";"-";"0003";"Carrer del Vuit de Juliol de 1809";"43";"-";"N";"";"-";"N";"-";"-";"-";"6563";"486432";"4649553";"2,83617561";"41,99787259"
"CENTRE CÍVIC: SALES D'ACTES/AUDITORIS-SALES POLIVALENTS-BAR-BIBLIOTECA";"CENTRE CÍVIC CAN MARFÀ";"0004";"Carrer de Baix";"2";"-";"N";"";"-";"N";"-";"BS";"1";"4781";"483978";"4647359";"2,80660520";"41,97806593"
"BAR RESTAURANT (CAT. 3)";"SIDRAL";"0004";"Carrer de Baix";"40";"-";"N";"";"-";"N";"-";"BS";"-";"4795";"483911";"4647284";"2,80579852";"41,97738906"
" ";"-";"0005";"Carrer de l'Abat Escarré";"8";"-";"N";"";"-";"N";"-";"BS";"-";"6446";"485972";"4649331";"2,83062675";"41,99586506"
" ";"-";"0005";"Carrer de l'Abat Escarré";"9";"-";"N";"";"-";"N";"-";"-";"-";"6429";"485909";"4649323";"2,82986629";"41,99579188"
